period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.529,0.0122094,0.9944,0.9942,5.273683427337876e-12
pre,post,highway,0.7179,0.000284,0.9602,0.8153,0.0006825637409633299
pre,post,source,0.4667,0.0725502,0.8018,0.7152,0.020066064260415975
pre,post,name,0.0,1.0,0.8994,-0.2221,0.7194981618799936
pre,post,surface,0.8681,6e-07,1.0,1.0,7.318510554731753e-26
pre,post,amenity,0.7273,0.0004989,0.9834,0.978,3.8896291960834434e-08
pre,post,landuse,0.884,1.15e-05,0.995,0.9918,4.333032515517408e-12
pre,post,waterway,0.5714,0.0610119,0.75,0.5629,0.14629575882961163
pre,post,natural,0.5152,0.0209804,0.9974,0.9981,1.9480691772992792e-13
pre,post,leisure,0.7793,0.0002386,0.9792,0.9681,5.901963763038039e-08
pre,post,emergency,0.6742,0.0070583,0.801,0.6992,0.024431670148095386
