period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.8182,0.0001323,0.9862,0.9905,4.627358339508877e-09
pre,imm,highway,0.697,0.0009745,0.9043,0.761,0.0040463773832563835
pre,imm,source,0.6889,0.0046869,0.7041,0.5978,0.06793826297207643
pre,imm,name,0.8165,0.2206714,0.9374,0.9856,0.10821784926879818
pre,imm,surface,0.7391,0.0003115,0.9985,0.9987,7.127604958887625e-17
pre,imm,amenity,0.5758,0.0087577,0.947,0.9304,1.1400576693296508e-05
pre,imm,landuse,0.6923,0.0005287,0.9351,0.9335,3.14941192585137e-06
pre,imm,waterway,0.7333,0.0555556,0.987,0.9737,0.0010319271531335423
pre,imm,natural,0.6876,0.0022845,0.9991,0.9995,3.6675976976441523e-16
pre,imm,leisure,0.8615,0.0001143,0.9445,0.9088,4.266455605250684e-05
pre,imm,emergency,0.4763,0.1530067,0.52,0.0768,0.8699338781882127
