period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.5,0.0344568,0.9992,0.9992,5.171368520716014e-14
pre,post,highway,0.4615,0.0304824,0.989,0.9859,6.929673228498439e-10
pre,post,source,0.6293,0.011921,0.7574,0.6431,0.044859851607565414
pre,post,name,1.0,0.0166667,0.9716,0.9058,0.03420299202313202
pre,post,surface,0.4773,0.0203468,0.9468,0.9437,4.0907530109128194e-07
pre,post,amenity,0.6839,0.0011974,0.9317,0.8874,5.197123396311144e-05
pre,post,landuse,0.5982,0.0119413,0.8119,0.5699,0.06718723203371153
pre,post,waterway,0.8095,0.0107143,0.862,0.6984,0.08090181521988578
pre,post,natural,0.593,0.0443784,0.9403,0.9061,0.0019288262771157694
pre,post,leisure,0.8362,0.000322,0.4717,0.3645,0.24403405709011244
pre,post,emergency,1.0,1.0,0.9882,1.0,1.0
