period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.4944,0.0481935,0.9993,0.9993,9.162849108883058e-13
pre,imm,highway,0.3333,0.2163735,0.9838,0.9823,4.215649110966829e-07
pre,imm,source,0.6364,0.0057072,0.9319,0.8918,0.00022523254880820078
pre,imm,name,-1.0,0.3333333,0.9268,-0.9875,0.10066701422314626
pre,imm,surface,0.5231,0.0191546,0.9451,0.9349,8.257841767924418e-06
pre,imm,amenity,0.6615,0.0030518,0.8385,0.7364,0.006312172903712639
pre,imm,landuse,0.9232,3.57e-05,0.8036,0.7461,0.005323687394537913
pre,imm,waterway,0.5855,0.0683139,0.9293,0.8182,0.02447868314270033
pre,imm,natural,0.6102,0.0112412,0.829,0.7564,0.00705790812085665
pre,imm,leisure,0.7957,0.0016003,0.6861,0.6255,0.053110890073172164
pre,imm,emergency,1.0,1.0,0.9908,1.0,1.0
