period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
imm,post,building,0.4037,0.0858128,1.0,1.0,1.2909841906376376e-22
imm,post,highway,0.6364,0.0031816,0.9899,0.9901,7.366137557194866e-10
imm,post,source,0.6,0.0099455,0.9274,0.8973,0.00017969734922795145
imm,post,name,1.0,0.0833333,0.9551,0.9913,0.00874404688758057
imm,post,surface,0.463,0.0502251,0.979,0.9784,1.807120149860838e-07
imm,post,amenity,0.5505,0.0191496,0.599,0.3346,0.3144603443293206
imm,post,landuse,0.6155,0.0058532,0.7327,0.636,0.026206213580984378
imm,post,waterway,0.7638,0.0088397,0.9299,0.871,0.004862477146072835
imm,post,natural,0.3571,0.2750992,0.922,0.876,0.0043373151027646965
imm,post,leisure,0.9091,0.0003105,0.9586,0.9361,6.762825682497292e-05
imm,post,emergency,0.3333,1.0,0.9622,0.9578,0.18567689215082714
