key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,911448,10.7225,10866.7669,66614.4989
source,467969,5.5053,4404.0327,27299.5324
highway,188418,2.2166,1138.8586,7436.3896
name,17739,0.2087,178.7398,1595.667
surface,10102,0.1188,1248.7316,8104.7842
damage:type,8449,0.0994,844800.0,5139708.3333
damage:event,8362,0.0984,836100.0,5086783.3333
damage:date,7662,0.0901,766100.0,4660950.0
earthquake:damage,7573,0.0891,757200.0,4606808.3333
oneway,7512,0.0884,330.9811,2521.8015
layer,6141,0.0722,1195.5696,7781.3819
landuse,5632,0.0663,420.0369,3063.558
destroyed:building,4759,0.056,475800.0,2894958.3333
ref,2897,0.0341,385.2596,2851.9961
fixme,2540,0.0299,7837.5,48186.4583
amenity,2523,0.0297,30.1858,691.9634
check_date,2343,0.0276,234200.0,1425225.0
temporary,2319,0.0273,231800.0,1410625.0
note,2096,0.0247,6886.6667,42402.2222
waterway,1977,0.0233,574.744,4004.6928
addr:district,1896,0.0223,761.8182,5142.7273
addr:housenumber,1824,0.0215,1261.194,8180.597
lanes,1769,0.0208,516.3763,3649.6225
natural,1675,0.0197,378.5714,2811.3095
building:levels,1512,0.0178,1300.0,8416.6667
man_made,1285,0.0151,140.1869,1361.1371
phone,1214,0.0143,-10.6696,443.4265
power,1211,0.0142,203.5088,1746.345
boundary,1063,0.0125,161.1794,1488.8411
healthcare,1054,0.0124,251.3333,2037.2778
admin_level,1005,0.0118,153.7879,1443.8763
railway,964,0.0113,40.1163,752.374
bridge,947,0.0111,297.8992,2320.5532
source:position,911,0.0107,91000.0,554091.6667
service,887,0.0104,150.565,1424.2702
maxspeed,864,0.0102,512.766,3627.6596
taskId,864,0.0102,86300.0,525500.0
taskIsSquare,864,0.0102,86300.0,525500.0
taskStatus,864,0.0102,86300.0,525500.0
tracktype,823,0.0097,3192.0,19926.3333
taskX,818,0.0096,81700.0,497516.6667
taskY,818,0.0096,81700.0,497516.6667
taskZoom,818,0.0096,81700.0,497516.6667
addr:street,705,0.0083,219.0045,1840.6109
name:ku,664,0.0078,82.9201,1012.764
shop,625,0.0074,959.322,6344.209
mappedBy,550,0.0065,54900.0,334483.3333
leisure,538,0.0063,81.7568,1005.6869
religion,522,0.0061,91.9118,1067.4632
intermittent,519,0.0061,698.4615,4757.3077
tunnel,497,0.0058,203.0488,1743.5467
int_ref,469,0.0055,493.6709,3511.4979
demolished:building,461,0.0054,46000.0,280341.6667
alt_name,457,0.0054,10.1205,569.8996
barrier,414,0.0049,181.6327,1613.2653
voltage,405,0.0048,164.7059,1510.2941
addr:city,386,0.0045,34.4948,718.1765
ford,382,0.0045,7540.0,46376.6667
place,368,0.0043,-84.0347,-2.8778
area,364,0.0043,1720.0,10971.6667
electrified,348,0.0041,2.0528,520.8211
addr:neighbourhood,338,0.004,72.449,949.0646
gauge,331,0.0039,-2.6471,492.2304
smoothness,324,0.0038,8000.0,49175.0
construction,322,0.0038,557.1429,3897.619
name:ar,295,0.0035,80.9816,1000.9714
usage,290,0.0034,15.0794,600.0661
source:geometry,284,0.0033,28300.0,172666.6667
name:en,267,0.0031,-4.9822,478.0249
access,261,0.0031,357.8947,2685.5263
boat,230,0.0027,289.8305,2271.4689
embankment,222,0.0026,11000.0,67425.0
denomination,221,0.0026,-8.2988,457.8492
wikidata,220,0.0026,-84.9932,-8.7085
junction,212,0.0025,351.0638,2643.9716
operator,202,0.0024,-44.8087,235.7468
wikipedia,190,0.0022,-86.6008,-18.4885
frequency,176,0.0021,-17.757,400.3115
description,170,0.002,1033.3333,6794.4444
mapwithai:source,159,0.0019,15800.0,96625.0
ele,158,0.0019,-91.5643,-48.683
height,156,0.0018,6.8493,550.0
building:part,153,0.0018,15200.0,92975.0
ref:ar,153,0.0018,705.2632,4798.6842
brand,143,0.0017,138.3333,1349.8611
foot,138,0.0016,820.0,5496.6667
substance,138,0.0016,1280.0,8295.0
brand:wikidata,137,0.0016,136.2069,1336.9253
source:url,136,0.0016,13500.0,82633.3333
addr:postcode,134,0.0016,-5.6338,474.061
source:ele,132,0.0016,-92.7987,-56.192
name:tr,130,0.0015,52.9412,830.3922
noexit,127,0.0015,12600.0,77158.3333
location,126,0.0015,600.0,4158.3333
tower:type,125,0.0015,0.8065,513.2392
sport,122,0.0014,18.4466,620.5502
damaged:building,111,0.0013,11000.0,67425.0
motor_vehicle,110,0.0013,2650.0,16629.1667
residential,110,0.0013,182.0513,1615.812
bicycle,106,0.0012,3433.3333,21394.4444
horse,102,0.0012,5000.0,30925.0
addr:province,101,0.0012,10000.0,61341.6667
public_transport,100,0.0012,-49.7487,205.6951
addr:full,96,0.0011,9500.0,58300.0
length,96,0.0011,1100.0,7200.0
historic,87,0.001,-10.3093,445.6186
generator:source,82,0.001,95.2381,1087.6984
MCM,78,0.0009,1014.2857,6678.5714
content,75,0.0009,-57.8652,156.3202
tram,75,0.0009,7400.0,45525.0
water,75,0.0009,294.7368,2301.3158
cables,74,0.0009,469.2308,3362.8205
generator:method,74,0.0009,76.1905,971.8254
damage_gra,71,0.0008,7000.0,43091.6667
generator:type,66,0.0008,53.4884,833.7209
website,65,0.0008,-29.3478,329.8007
name:ru,62,0.0007,-36.0825,288.8316
border_type,60,0.0007,-56.2044,166.4234
level,58,0.0007,1350.0,8720.8333
building:material,57,0.0007,-67.6136,97.017
old_name,55,0.0006,-91.0423,-45.5076
tourism,54,0.0006,-6.8966,466.3793
lit,48,0.0006,242.8571,1985.7143
crop,45,0.0005,1025.0,6743.75
direction,43,0.0005,4200.0,26058.3333
opening_hours,43,0.0005,-10.4167,444.9653
roof:colour,43,0.0005,4200.0,26058.3333
brand:wikipedia,42,0.0005,61.5385,882.6923
trees,42,0.0005,2000.0,12675.0
name:de,41,0.0005,7.8947,556.3596
type,41,0.0005,583.3333,4056.9444
lane_markings,39,0.0005,3800.0,23625.0
noname,39,0.0005,3800.0,23625.0
roof:shape,38,0.0004,3700.0,23016.6667
was:highway,38,0.0004,3700.0,23016.6667
material,37,0.0004,1750.0,11154.1667
office,36,0.0004,0.0,508.3333
structure,35,0.0004,3400.0,21191.6667
entrance,34,0.0004,100.0,1116.6667
width,33,0.0004,135.7143,1333.9286
covered,32,0.0004,3100.0,19366.6667
idp:camp_site,31,0.0004,3000.0,18758.3333
route_ref,31,0.0004,3000.0,18758.3333
demolished:highway,30,0.0004,2900.0,18150.0
generator:output:electricity,30,0.0004,-25.0,356.25
emergency,29,0.0003,93.3333,1076.1111
name:fr,28,0.0003,47.3684,796.4912
wheelchair,28,0.0003,86.6667,1035.5556
int_ref:ar,27,0.0003,125.0,1268.75
name:fa,27,0.0003,-64.9351,113.3117
aeroway,26,0.0003,160.0,1481.6667
irrigation,26,0.0003,-3.7037,485.8025
name:kmr,26,0.0003,2500.0,15716.6667
name:ur,26,0.0003,-62.3188,129.2271
population,26,0.0003,-74.0,58.1667
toll,26,0.0003,160.0,1481.6667
line_management,25,0.0003,2400.0,15108.3333
grape_variety,24,0.0003,2300.0,14500.0
lanes:backward,24,0.0003,2300.0,14500.0
lanes:forward,24,0.0003,2300.0,14500.0
name:ckb,24,0.0003,-61.9048,131.746
lockedBy,23,0.0003,2200.0,13891.6667
name:azb,22,0.0003,69.2308,929.4872
alt_name:ar,21,0.0002,600.0,4158.3333
design,20,0.0002,1900.0,12066.6667
int_name,20,0.0002,122.2222,1251.8519
cutting,19,0.0002,375.0,2789.5833
name:es,19,0.0002,-34.4828,298.5632
amage:event,18,0.0002,1700.0,10850.0
name:hy,18,0.0002,-85.4839,-11.6935
right:province,18,0.0002,-64.0,119.0
roof:material,18,0.0002,1700.0,10850.0
parking,17,0.0002,183.3333,1623.6111
start_date,17,0.0002,-88.6667,-31.0556
addr:subdistrict,16,0.0002,1500.0,9633.3333
address:district,16,0.0002,1500.0,9633.3333
address:neighbourhood,16,0.0002,1500.0,9633.3333
address:subdistrict,16,0.0002,1500.0,9633.3333
building:roof,16,0.0002,433.3333,3144.4444
