key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,12835,12.5504,1283400.0,7807858.3333
highway,985,0.9632,6056.25,37350.5208
destroyed:building,675,0.66,67400.0,410525.0
source,500,0.4889,49900.0,304066.6667
damage:event,492,0.4811,49100.0,299200.0
damage:type,485,0.4742,48400.0,294941.6667
destroyed:highway,426,0.4166,42500.0,259050.0
surface,326,0.3188,32500.0,198216.6667
landuse,268,0.2621,26700.0,162933.3333
oneway,210,0.2053,20900.0,127650.0
name,191,0.1868,4675.0,28947.9167
damage:date,176,0.1721,17500.0,106966.6667
name:ar,133,0.1301,6550.0,40354.1667
damaged:building,96,0.0939,9500.0,58300.0
name:en,96,0.0939,4700.0,29100.0
barrier,94,0.0919,9300.0,57083.3333
waterway,85,0.0831,8400.0,51608.3333
expressway,76,0.0743,7500.0,46133.3333
int_ref,76,0.0743,7500.0,46133.3333
ref,76,0.0743,7500.0,46133.3333
service,56,0.0548,5500.0,33966.6667
natural,49,0.0479,4800.0,29708.3333
intermittent,47,0.046,4600.0,28491.6667
layer,45,0.044,4400.0,27275.0
amenity,42,0.0411,4100.0,25450.0
type,28,0.0274,2700.0,16933.3333
note,23,0.0225,2200.0,13891.6667
building:levels,22,0.0215,2100.0,13283.3333
earthquake:damage,22,0.0215,2100.0,13283.3333
name:de,22,0.0215,2100.0,13283.3333
wikipedia,20,0.0196,1900.0,12066.6667
bridge,18,0.0176,1700.0,10850.0
destroyed:building:part,18,0.0176,1700.0,10850.0
leisure,18,0.0176,1700.0,10850.0
name:es,17,0.0166,1600.0,10241.6667
name:it,17,0.0166,1600.0,10241.6667
place,17,0.0166,1600.0,10241.6667
wikidata,17,0.0166,1600.0,10241.6667
addr:street,16,0.0156,1500.0,9633.3333
ford,13,0.0127,1200.0,7808.3333
lanes,13,0.0127,1200.0,7808.3333
name:fr,12,0.0117,1100.0,7200.0
man_made,11,0.0108,1000.0,6591.6667
short_name:ar,11,0.0108,1000.0,6591.6667
start_date,11,0.0108,1000.0,6591.6667
ruins,10,0.0098,900.0,5983.3333
tunnel,10,0.0098,900.0,5983.3333
historic,9,0.0088,800.0,5375.0
sport,8,0.0078,700.0,4766.6667
destroyed:bridge,7,0.0068,600.0,4158.3333
seasonal,7,0.0068,600.0,4158.3333
area,6,0.0059,500.0,3550.0
destroyed:barrier,6,0.0059,500.0,3550.0
historic:civilization,6,0.0059,500.0,3550.0
roof:shape,6,0.0059,500.0,3550.0
destroyed:highway:part,4,0.0039,300.0,2333.3333
destroyed:natural,4,0.0039,300.0,2333.3333
tourism,4,0.0039,100.0,1116.6667
fixme,3,0.0029,200.0,1725.0
hazard,3,0.0029,200.0,1725.0
healthcare,3,0.0029,200.0,1725.0
junction,3,0.0029,200.0,1725.0
leaf_type,3,0.0029,200.0,1725.0
covered,2,0.002,100.0,1116.6667
damaged:highway,2,0.002,100.0,1116.6667
noexit,2,0.002,100.0,1116.6667
parking,2,0.002,100.0,1116.6667
religion,2,0.002,100.0,1116.6667
tower:type,2,0.002,100.0,1116.6667
wall,2,0.002,100.0,1116.6667
access,1,0.001,0.0,508.3333
brand,1,0.001,0.0,508.3333
dammage:event,1,0.001,0.0,508.3333
destroyed:amenity,1,0.001,0.0,508.3333
destroyed:historic,1,0.001,0.0,508.3333
destroyed:landuse,1,0.001,0.0,508.3333
destroyed:office,1,0.001,0.0,508.3333
destroyed:tourism,1,0.001,0.0,508.3333
destroyed:waterway,1,0.001,0.0,508.3333
healthcare:speciality,1,0.001,0.0,508.3333
lit,1,0.001,0.0,508.3333
name:azb,1,0.001,0.0,508.3333
name:el,1,0.001,0.0,508.3333
name:fa,1,0.001,0.0,508.3333
name:ks,1,0.001,0.0,508.3333
name:ota,1,0.001,0.0,508.3333
name:pl,1,0.001,0.0,508.3333
name:pnb,1,0.001,0.0,508.3333
name:ru,1,0.001,0.0,508.3333
name:tr,1,0.001,0.0,508.3333
name:ur,1,0.001,0.0,508.3333
office,1,0.001,0.0,508.3333
operator,1,0.001,0.0,508.3333
operator:type,1,0.001,0.0,508.3333
population,1,0.001,0.0,508.3333
shop,1,0.001,-50.0,204.1667
trees,1,0.001,0.0,508.3333
wikipedia:ar,1,0.001,0.0,508.3333
