key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,622,3.4278,3787.5,3787.5
building,461,2.5405,46000.0,46000.0
oneway,123,0.6778,12200.0,12200.0
surface,112,0.6172,11100.0,11100.0
destroyed:building,95,0.5235,9400.0,9400.0
destroyed:highway,78,0.4298,7700.0,7700.0
name,73,0.4023,1725.0,1725.0
construction,55,0.3031,5400.0,5400.0
name:ar,52,0.2866,2500.0,2500.0
expressway,34,0.1874,3300.0,3300.0
int_ref,34,0.1874,3300.0,3300.0
ref,34,0.1874,3300.0,3300.0
name:en,31,0.1708,1450.0,1450.0
layer,29,0.1598,2800.0,2800.0
bridge,24,0.1323,2300.0,2300.0
damage:event,22,0.1212,2100.0,2100.0
damage:type,22,0.1212,2100.0,2100.0
source,22,0.1212,2100.0,2100.0
barrier,15,0.0827,1400.0,1400.0
foot,15,0.0827,1400.0,1400.0
service,11,0.0606,1000.0,1000.0
damage:date,6,0.0331,500.0,500.0
landuse,6,0.0331,500.0,500.0
intermittent,5,0.0276,400.0,400.0
natural,5,0.0276,400.0,400.0
note,5,0.0276,400.0,400.0
waterway,5,0.0276,400.0,400.0
destroyed:bridge,4,0.022,300.0,300.0
lanes,4,0.022,300.0,300.0
seasonal,4,0.022,300.0,300.0
junction,3,0.0165,200.0,200.0
name:de,3,0.0165,200.0,200.0
name:es,3,0.0165,200.0,200.0
name:it,3,0.0165,200.0,200.0
place,3,0.0165,200.0,200.0
short_name:ar,3,0.0165,200.0,200.0
wikidata,3,0.0165,200.0,200.0
wikipedia,3,0.0165,200.0,200.0
amenity,2,0.011,100.0,100.0
ford,2,0.011,100.0,100.0
damaged:building,1,0.0055,0.0,0.0
destroyed:building:part,1,0.0055,0.0,0.0
religion,1,0.0055,0.0,0.0
tourism,1,0.0055,-50.0,-50.0
wall,1,0.0055,0.0,0.0
