key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,3622598,16.8235,556.8151,3895.6252
source,844482,3.9218,822.9513,5514.6205
highway,720965,3.3482,82.4988,1010.2008
landuse,127549,0.5923,888.7519,5914.9076
name,116794,0.5424,-4.5902,480.4096
height,62756,0.2914,4841.4173,29960.2887
waterway,54631,0.2537,284.9965,2242.0619
surface,53871,0.2502,11.8445,580.3871
damage:event,46267,0.2149,289068.75,1759009.8958
natural,38571,0.1791,203.8522,1748.4343
