key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,955139,18.4383,73.1767,73.1767
highway,498273,9.6188,26.1285,26.1285
name,221584,4.2775,81.0135,81.0135
source,164725,3.1799,80.0313,80.0313
surface,97381,1.8799,102.1779,102.1779
oneway,62006,1.197,52.7467,52.7467
natural,61822,1.1934,387.0175,387.0175
attribute_source_date,51923,1.0023,324418.75,324418.75
landuse,51866,1.0012,302.062,302.062
tiger:county,49805,0.9615,73.7545,73.7545
