period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.4728,0.1050638,0.9996,0.9996,1.1236180375717998e-10
pre,imm,highway,0.7949,3.19e-05,0.8087,0.7515,0.0030598198438358676
pre,imm,source,0.2222,0.4767086,0.9988,0.9991,8.443426784696125e-11
pre,imm,name,0.3333,1.0,0.9248,0.9882,0.09774244823253174
pre,imm,surface,0.6667,0.3333333,0.9922,0.99,0.0100356274435347
pre,imm,amenity,-0.0941,0.714393,0.6904,0.5853,0.07548055471035868
pre,imm,landuse,0.1054,0.8005421,0.7108,0.4997,0.39137034331758963
pre,imm,waterway,0.7333,0.0555556,0.948,0.9302,0.007141007748780155
pre,imm,natural,0.6,0.2333333,0.9958,0.996,0.0003018257377091908
pre,imm,leisure,-0.0772,0.8378116,0.7391,0.6209,0.18830532175915143
pre,imm,emergency,nan,nan,0,0,0
