period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.0,1.0,0.9994,0.9996,8.2816431601497e-06
pre,post,highway,0.7455,0.0007595,0.7704,0.6955,0.017483393558677795
pre,post,source,0.734,0.0017873,0.998,0.998,4.065329975276579e-12
pre,post,name,0.25,0.4424626,0.4548,-0.2139,0.645118528965075
pre,post,surface,0.8571,0.001568,0.9799,0.9783,4.8759866730368136e-06
pre,post,amenity,0.1177,0.6687809,0.8237,0.7104,0.031973775813028474
pre,post,landuse,0.6667,0.1184329,0.9349,0.953,0.012136442249998497
pre,post,waterway,1.0,0.3333333,0.9899,0.9904,0.08851265315539532
pre,post,natural,1.0,0.3333333,0.9944,0.9886,0.09638209345704715
pre,post,leisure,0.3333,0.75,0.904,0.7773,0.22274440261375528
pre,post,emergency,nan,nan,0,0,0
