period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.8333,0.0008543,0.9662,0.9481,9.945976863581405e-05
pre,post,0.7778,0.002425,0.9675,0.9568,5.293117793995893e-05
imm,post,0.8333,0.0008543,0.9619,0.9235,0.00037823931488808
