key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,1644,5.6423,61.3346,61.3346
source,1064,3.6517,9572.7273,9572.7273
type,975,3.3463,48650.0,48650.0
id,973,3.3394,97200.0,97200.0
dc_team,918,3.1506,91700.0,91700.0
last_updat,918,3.1506,91700.0,91700.0
lenght,918,3.1506,91700.0,91700.0
photo_encr,815,2.7971,81400.0,81400.0
buildings,753,2.5843,75200.0,75200.0
elevation_,665,2.2823,66400.0,66400.0
checked,537,1.843,53600.0,53600.0
remark,453,1.5547,45200.0,45200.0
name,114,0.3913,159.0909,159.0909
highway,67,0.2299,91.4286,91.4286
access,58,0.1991,1350.0,1350.0
leisure,56,0.1922,5500.0,5500.0
Creator,55,0.1888,5400.0,5400.0
DateTime,55,0.1888,5400.0,5400.0
DateTimeS,55,0.1888,5400.0,5400.0
Elevation,55,0.1888,5400.0,5400.0
OBJECTID,55,0.1888,5400.0,5400.0
XMAX,55,0.1888,5400.0,5400.0
XMIN,55,0.1888,5400.0,5400.0
YMAX,55,0.1888,5400.0,5400.0
YMIN,55,0.1888,5400.0,5400.0
symbol,55,0.1888,5400.0,5400.0
oneway,19,0.0652,375.0,375.0
surface,19,0.0652,280.0,280.0
natural,15,0.0515,1400.0,1400.0
wetland,15,0.0515,1400.0,1400.0
landuse,8,0.0275,100.0,100.0
amenity,5,0.0172,-54.5455,-54.5455
fixme,5,0.0172,400.0,400.0
addr:street,3,0.0103,-81.25,-81.25
alt_name,3,0.0103,200.0,200.0
osm_id,3,0.0103,50.0,50.0
addr:housenumber,2,0.0069,-71.4286,-71.4286
maporpot,2,0.0069,100.0,100.0
name:fr,2,0.0069,100.0,100.0
opening_hours,2,0.0069,-60.0,-60.0
street,2,0.0069,100.0,100.0
waterway,2,0.0069,-60.0,-60.0
barrier,1,0.0034,0.0,0.0
bridge,1,0.0034,0.0,0.0
country,1,0.0034,0.0,0.0
cuisine,1,0.0034,-50.0,-50.0
email,1,0.0034,0.0,0.0
healthcare,1,0.0034,0.0,0.0
layer,1,0.0034,0.0,0.0
maxspeed,1,0.0034,0.0,0.0
name:en,1,0.0034,-80.0,-80.0
office,1,0.0034,-50.0,-50.0
phone,1,0.0034,0.0,0.0
place,1,0.0034,0.0,0.0
residential,1,0.0034,0.0,0.0
service,1,0.0034,0.0,0.0
shop,1,0.0034,-50.0,-50.0
website,1,0.0034,-66.6667,-66.6667
