period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
imm,post,building,0.5758,0.0087577,0.9995,0.9996,1.2644540774491945e-16
imm,post,highway,0.5165,0.009753,0.7932,0.6404,0.013614488834668266
imm,post,source,0.4286,0.178869,0.7844,0.6087,0.1092622516352207
imm,post,name,-1.0,1.0,0.8791,-1.0,1.0
imm,post,surface,0.5455,0.0137708,0.613,0.4121,0.18313886088685083
imm,post,amenity,0.1972,0.463071,0.2502,-0.0236,0.9518707596698743
imm,post,landuse,0.5143,0.0578182,0.7621,0.6993,0.0360160954501147
imm,post,waterway,0.648,0.0159064,0.9384,0.939,0.00017413750648391345
imm,post,natural,0.7037,0.0029182,0.9228,0.8769,0.00039335834045368435
imm,post,leisure,0.1054,0.8005421,0.3071,-0.1716,0.7825778342622143
imm,post,emergency,nan,nan,0.7894,nan,nan
