period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.6901,0.006459,0.9991,0.9993,8.853350037238525e-13
pre,imm,highway,0.6923,0.0005287,0.9164,0.8593,0.00016714189168886323
pre,imm,source,0.6,0.2333333,0.9895,0.9814,0.003034159763164886
pre,imm,name,-0.6667,0.3333333,0.4721,-0.873,0.12703342025635989
pre,imm,surface,0.5692,0.0107999,0.4738,0.3032,0.3381354332323464
pre,imm,amenity,0.5,0.1086806,0.6337,0.5208,0.18571964096664498
pre,imm,landuse,0.5872,0.0124622,0.9841,0.9812,9.798960759145256e-08
pre,imm,waterway,0.7638,0.0088397,0.9939,0.9939,5.763370223231127e-07
pre,imm,natural,0.3778,0.1557418,0.8369,0.6913,0.026829092087832018
pre,imm,leisure,0.414,0.251118,0.9307,0.8917,0.016961079117540356
pre,imm,emergency,nan,nan,0.7235,nan,nan
