start_date,creates,edits,deletes
2023-02-01,29,310,9
2023-02-02,4,56,0
2023-02-03,37,134,1
2023-02-04,8,41,0
2023-02-05,9,132,0
2023-02-06,25,74,1
2023-02-07,3,20,0
2023-02-08,8,63,2
2023-02-09,1,33,0
2023-02-10,26,170,22
2023-02-11,1,89,1
2023-02-12,9,93,2
2023-02-13,10,141,2
2023-02-14,12,98,2
2023-02-15,38,259,54
2023-02-16,2,92,0
2023-02-17,11,71,6
2023-02-18,14,25,3
2023-02-19,1,25,0
2023-02-20,2,28,2
2023-02-21,2,17,0
2023-02-22,1,30,1
2023-02-23,1,51,1
2023-02-24,1,34,0
2023-02-25,2,32,2
2023-02-26,28,39,7
2023-02-27,15,60,5
2023-02-28,4,15,8
2023-03-01,12,77,6
2023-03-02,1,18,0
2023-03-03,0,50,0
2023-03-04,78,126,13
2023-03-05,0,53,0
2023-03-06,3,53,1
2023-03-07,1,10,0
2023-03-08,0,45,0
2023-03-09,1,19,0
2023-03-10,2,81,2
2023-03-11,2,8,0
2023-03-12,1,28,0
2023-03-13,0,137,0
2023-03-14,52,92,8
2023-03-15,1,23,0
2023-03-16,2,72,15
2023-03-17,0,23,0
2023-03-18,0,71,0
2023-03-19,2,69,0
2023-03-20,5,83,0
2023-03-21,2,52,0
2023-03-22,2,68,0
2023-03-23,51,61,9
2023-03-24,34,43,0
2023-03-25,0,41,0
2023-03-26,3,41,0
2023-03-27,1,23,0
2023-03-28,4,31,0
2023-03-29,4,27,7
2023-03-30,11,19,8
2023-03-31,6,275,6
2023-04-01,1,406,0
2023-04-02,2,90,0
2023-04-03,3,71,1
2023-04-04,11,107,6
2023-04-05,10,33,1
2023-04-06,2,573,3
2023-04-07,2,314,0
2023-04-08,15,65,6
2023-04-09,5,70,0
2023-04-10,7,112,5
2023-04-11,7,67,0
2023-04-12,16,214,11
2023-04-13,6,46,6
2023-04-14,15,105,21
2023-04-15,1,37,0
2023-04-16,46,211,15
2023-04-17,5,97,0
2023-04-18,12,73,2
2023-04-19,26,61,15
2023-04-20,9,85,0
2023-04-21,1,32,0
2023-04-22,4,65,2
2023-04-23,9,45,2
2023-04-24,3,47,1
2023-04-25,13,38,1
2023-04-26,3,11,0
2023-04-27,3,186,0
2023-04-28,17,128,11
2023-04-29,4,29,0
2023-04-30,4,46,0
2023-05-01,51,155,4
2023-05-02,78,161,19
2023-05-03,10,34,0
2023-05-04,6,69,3
2023-05-05,60,39,55
2023-05-06,16,146,2
2023-05-07,0,48,0
2023-05-08,3,29,4
2023-05-09,17,45,5
2023-05-10,1,52,2
2023-05-11,4,58,0
2023-05-12,7,33,6
2023-05-13,5,30,0
2023-05-14,3,22,0
2023-05-15,4,15,4
2023-05-16,29,120,6
2023-05-17,39,64,2
2023-05-18,17,109,0
2023-05-19,6,72,9
2023-05-20,2,24,1
2023-05-21,341,390,50
2023-05-22,8,71,0
2023-05-23,0,16,0
2023-05-24,7,41,1
2023-05-25,2,56,1
2023-05-26,8,90,4
2023-05-27,3,34,2
2023-05-28,21,207,26
2023-05-29,2,6,0
2023-05-30,42,117,2
2023-05-31,0,23,0
2023-06-01,48,193,12
2023-06-02,1,33,0
2023-06-03,1,28,0
2023-06-04,13,75,1
2023-06-05,26,197,19
2023-06-06,1,24,0
2023-06-07,12,26,0
2023-06-08,14,41,3
2023-06-09,4,76,8
2023-06-10,5,115,4
2023-06-11,11,188,23
2023-06-12,41,280,23
2023-06-13,10,80,3
2023-06-14,8,84,7
2023-06-15,7,69,3
2023-06-16,4,78,5
2023-06-17,13,90,4
2023-06-18,6,108,4
2023-06-19,9,62,1
2023-06-20,3,31,3
2023-06-21,11,18,1
2023-06-22,44,191,23
2023-06-23,1,78,4
2023-06-24,2,51,3
2023-06-25,26,185,93
2023-06-26,8,103,2
2023-06-27,2,28,1
2023-06-28,5,57,1
2023-06-29,0,32,0
2023-06-30,5,64,3
2023-07-01,0,50,0
2023-07-02,99,341,95
2023-07-03,9,46,0
2023-07-04,2,66,0
2023-07-05,11,69,0
2023-07-06,4,38,0
2023-07-07,1,22,0
2023-07-08,0,9,0
2023-07-09,48,96,7
2023-07-10,1,36,0
2023-07-11,2,68,0
2023-07-12,1,20,0
2023-07-13,237,339,39
2023-07-14,26,183,10
2023-07-15,1,228,11
2023-07-16,41,309,30
2023-07-17,1,73,3
2023-07-18,1,60,1
2023-07-19,72,66,1
2023-07-20,6,122,5
2023-07-21,0,11,0
2023-07-22,31,211,2
2023-07-23,1,30,0
2023-07-24,35,104,2
2023-07-25,0,1194,0
2023-07-26,0,50,1
2023-07-27,4,109,10
2023-07-28,6,46,1
2023-07-29,6,59,3
2023-07-30,0,0,0
