key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,32863,7.4146,-38.9617,-38.9617
source,10118,2.2828,-23.3775,-23.3775
import,8939,2.0168,-26.3734,-26.3734
building,3708,0.8366,-98.6626,-98.6626
name,3357,0.7574,-5.9927,-5.9927
surface,2243,0.5061,-59.5199,-59.5199
oneway,1219,0.275,-5.5039,-5.5039
layer,738,0.1665,-34.2246,-34.2246
bridge,717,0.1618,-33.6111,-33.6111
amenity,620,0.1399,292.4051,292.4051
width,394,0.0889,19600.0,19600.0
type,361,0.0814,4412.5,4412.5
building:roof,355,0.0801,35400.0,35400.0
building:levels,334,0.0754,33300.0,33300.0
building:material,334,0.0754,33300.0,33300.0
smoothness,331,0.0747,10933.3333,10933.3333
building:condition,297,0.067,29600.0,29600.0
access,274,0.0618,-32.1782,-32.1782
motorcycle,255,0.0575,140.566,140.566
foot,193,0.0435,-54.8009,-54.8009
addr:city,166,0.0375,232.0,232.0
bicycle,148,0.0334,-61.8557,-61.8557
horse,139,0.0314,-62.6344,-62.6344
addr:full,137,0.0309,13600.0,13600.0
school:type_idn,126,0.0284,12500.0,12500.0
religion,111,0.025,105.5556,105.5556
operator,109,0.0246,990.0,990.0
ref,85,0.0192,-45.5128,-45.5128
service,85,0.0192,60.3774,60.3774
building:structure,80,0.018,7900.0,7900.0
ford,69,0.0156,-15.8537,-15.8537
fixme,67,0.0151,-67.6329,-67.6329
addr:street,66,0.0149,-14.2857,-14.2857
lanes,64,0.0144,2033.3333,2033.3333
maxspeed,59,0.0133,247.0588,247.0588
operator:type,51,0.0115,5000.0,5000.0
motorcar,50,0.0113,212.5,212.5
office,46,0.0104,119.0476,119.0476
building:floor,42,0.0095,4100.0,4100.0
waterway,37,0.0083,-98.0649,-98.0649
junction,35,0.0079,9.375,9.375
admin_level,31,0.007,-36.7347,-36.7347
leisure,30,0.0068,25.0,25.0
man_made,30,0.0068,-42.3077,-42.3077
social_facility,28,0.0063,2700.0,2700.0
noname,24,0.0054,4.3478,4.3478
barrier,23,0.0052,2200.0,2200.0
building:walls,22,0.005,2100.0,2100.0
landuse,22,0.005,-47.619,-47.619
website,22,0.005,100.0,100.0
capacity:persons,21,0.0047,2000.0,2000.0
phone,21,0.0047,250.0,250.0
access:roof,20,0.0045,1900.0,1900.0
name:en,19,0.0043,-61.2245,-61.2245
natural,19,0.0043,-89.5604,-89.5604
description,17,0.0038,88.8889,88.8889
difficulty,16,0.0036,-61.9048,-61.9048
locked,16,0.0036,-61.9048,-61.9048
project_id,16,0.0036,-61.9048,-61.9048
state,16,0.0036,-61.9048,-61.9048
task_id,16,0.0036,1500.0,1500.0
covered,15,0.0034,1400.0,1400.0
motor_vehicle,12,0.0027,-91.2409,-91.2409
place,12,0.0027,-33.3333,-33.3333
denomination,11,0.0025,120.0,120.0
emergency,10,0.0023,900.0,900.0
sport,10,0.0023,-16.6667,-16.6667
noexit,8,0.0018,-46.6667,-46.6667
addr:housenumber,7,0.0016,-41.6667,-41.6667
bicycle_road,7,0.0016,-36.3636,-36.3636
household,7,0.0016,600.0,600.0
is_in:state,7,0.0016,-12.5,-12.5
social_facility:for,7,0.0016,600.0,600.0
tourism,7,0.0016,-61.1111,-61.1111
is_in:country,6,0.0014,-50.0,-50.0
notes,6,0.0014,500.0,500.0
Building,5,0.0011,400.0,400.0
area,5,0.0011,-44.4444,-44.4444
backup_generator,5,0.0011,400.0,400.0
is_in:county,5,0.0011,25.0,25.0
is_in:region,5,0.0011,25.0,25.0
tower:type,5,0.0011,0.0,0.0
aeroway,4,0.0009,-69.2308,-69.2308
alt_name,4,0.0009,-71.4286,-71.4286
communication:mobile_phone,4,0.0009,300.0,300.0
height,4,0.0009,300.0,300.0
lit,4,0.0009,-20.0,-20.0
traffic_signals,4,0.0009,-73.3333,-73.3333
wikipedia,4,0.0009,-92.3077,-92.3077
car,3,0.0007,200.0,200.0
historic,3,0.0007,50.0,50.0
historic:civilization,3,0.0007,200.0,200.0
iata,3,0.0007,-40.0,-40.0
icao,3,0.0007,-40.0,-40.0
incline,3,0.0007,-80.0,-80.0
industrial,3,0.0007,200.0,200.0
internet_access,3,0.0007,-25.0,-25.0
material,3,0.0007,200.0,200.0
note,3,0.0007,-90.625,-90.625
shop,3,0.0007,-86.3636,-86.3636
tunnel,3,0.0007,-91.1765,-91.1765
wikidata,3,0.0007,-93.617,-93.617
Type,2,0.0005,100.0,100.0
addr:postcode,2,0.0005,-77.7778,-77.7778
aerialway,2,0.0005,100.0,100.0
aerodrome:type,2,0.0005,100.0,100.0
alt_name:en,2,0.0005,-50.0,-50.0
boundary,2,0.0005,-95.9184,-95.9184
cuisine,2,0.0005,100.0,100.0
ele,2,0.0005,100.0,100.0
embankment,2,0.0005,-50.0,-50.0
female,2,0.0005,100.0,100.0
intermittent,2,0.0005,-71.4286,-71.4286
male,2,0.0005,100.0,100.0
megalith_type,2,0.0005,100.0,100.0
moved,2,0.0005,100.0,100.0
site_type,2,0.0005,100.0,100.0
vehicle,2,0.0005,-77.7778,-77.7778
waste,2,0.0005,100.0,100.0
Jembatan,1,0.0002,0.0,0.0
Source,1,0.0002,-97.8723,-97.8723
Sport,1,0.0002,0.0,0.0
assigned_to_id,1,0.0002,-66.6667,-66.6667
brand,1,0.0002,0.0,0.0
brand:wikidata,1,0.0002,0.0,0.0
brand:wikipedia,1,0.0002,0.0,0.0
crossing,1,0.0002,0.0,0.0
editor,1,0.0002,-97.619,-97.619
evacuation_center,1,0.0002,0.0,0.0
fax,1,0.0002,0.0,0.0
frequency,1,0.0002,-88.8889,-88.8889
gns:dsg,1,0.0002,-75.0,-75.0
government,1,0.0002,0.0,0.0
healthcare,1,0.0002,0.0,0.0
is_in:country_code,1,0.0002,-75.0,-75.0
