key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,place_of_worship,165,61.7978,16400.0,100275.0
amenity,social_facility,24,8.9888,2300.0,14500.0
amenity,bank,13,4.8689,1200.0,7808.3333
amenity,hospital,10,3.7453,900.0,5983.3333
amenity,school,8,2.9963,700.0,4766.6667
amenity,university,6,2.2472,500.0,3550.0
amenity,cafe,5,1.8727,400.0,2941.6667
amenity,restaurant,5,1.8727,400.0,2941.6667
amenity,clinic,4,1.4981,300.0,2333.3333
amenity,fast_food,3,1.1236,200.0,1725.0
amenity,ferry_terminal,3,1.1236,200.0,1725.0
amenity,post_office,3,1.1236,200.0,1725.0
amenity,atm,2,0.7491,100.0,1116.6667
amenity,college,2,0.7491,100.0,1116.6667
amenity,fuel,2,0.7491,100.0,1116.6667
amenity,studio,2,0.7491,100.0,1116.6667
amenity,bus_station,1,0.3745,0.0,508.3333
amenity,grave_yard,1,0.3745,0.0,508.3333
amenity,marketplace,1,0.3745,0.0,508.3333
amenity,parking,1,0.3745,0.0,508.3333
amenity,police,1,0.3745,0.0,508.3333
amenity,pub,1,0.3745,0.0,508.3333
amenity,swimming_pool,1,0.3745,0.0,508.3333
amenity,taxi,1,0.3745,0.0,508.3333
amenity,toilets,1,0.3745,0.0,508.3333
amenity,townhall,1,0.3745,0.0,508.3333
building,yes,93827,95.9357,9382600.0,57077991.6667
building,unclassified,2439,2.4938,243800.0,1483625.0
building,house,1228,1.2556,122700.0,746933.3333
building,construction,194,0.1984,19300.0,117916.6667
building,mosque,37,0.0378,3600.0,22408.3333
building,school,23,0.0235,2200.0,13891.6667
building,hotel,17,0.0174,1600.0,10241.6667
building,office,9,0.0092,800.0,5375.0
building,roof,6,0.0061,500.0,3550.0
building,warehouse,5,0.0051,400.0,2941.6667
building,college,3,0.0031,200.0,1725.0
building,government_office,3,0.0031,200.0,1725.0
building,hospital,3,0.0031,200.0,1725.0
building,hut,3,0.0031,200.0,1725.0
building,commercial,2,0.002,100.0,1116.6667
building,church,1,0.001,0.0,508.3333
building,farm_auxiliary,1,0.001,0.0,508.3333
building,industrial,1,0.001,0.0,508.3333
emergency,yes,2,66.6667,100.0,1116.6667
emergency,no,1,33.3333,0.0,508.3333
highway,residential,5023,54.8003,502200.0,3055558.3333
highway,track,1789,19.5178,178800.0,1088208.3333
highway,unclassified,1140,12.4373,113900.0,693400.0
highway,service,304,3.3166,30300.0,184833.3333
highway,trunk,220,2.4002,21900.0,133733.3333
highway,tertiary,206,2.2474,20500.0,125216.6667
highway,path,124,1.3528,12300.0,75333.3333
highway,primary,119,1.2983,11800.0,72291.6667
highway,secondary,102,1.1128,10100.0,61950.0
highway,living_street,39,0.4255,3800.0,23625.0
highway,footway,37,0.4037,3600.0,22408.3333
highway,pedestrian,36,0.3928,3500.0,21800.0
highway,road,21,0.2291,2000.0,12675.0
highway,cycleway,2,0.0218,100.0,1116.6667
highway,secondary_link,2,0.0218,100.0,1116.6667
highway,primary_link,1,0.0109,0.0,508.3333
highway,tertiary_link,1,0.0109,0.0,508.3333
landuse,farmland,34,34.3434,3300.0,20583.3333
landuse,residential,31,31.3131,3000.0,18758.3333
landuse,farmyard,10,10.101,900.0,5983.3333
landuse,brownfield,6,6.0606,500.0,3550.0
landuse,cemetery,6,6.0606,500.0,3550.0
landuse,port,6,6.0606,500.0,3550.0
landuse,reservoir,3,3.0303,200.0,1725.0
landuse,commercial,2,2.0202,100.0,1116.6667
landuse,religious,1,1.0101,0.0,508.3333
leisure,pitch,41,75.9259,4000.0,24841.6667
leisure,swimming_pool,8,14.8148,700.0,4766.6667
leisure,playground,2,3.7037,100.0,1116.6667
leisure,garden,1,1.8519,0.0,508.3333
leisure,park,1,1.8519,0.0,508.3333
leisure,sports_centre,1,1.8519,0.0,508.3333
name,Jalan Komplexs Pengawu Indah,37,2.3642,3600.0,22408.3333
name,Jalan,32,2.0447,3100.0,19366.6667
name,Binangga Palu,27,1.7252,2600.0,16325.0
name,Jalan Komplexs Pengawu Permai,26,1.6613,2500.0,15716.6667
name,Jalan Pengawu,24,1.5335,2300.0,14500.0
name,Jalan Nusantara III,21,1.3419,2000.0,12675.0
name,Jalan Keramik,17,1.0863,1600.0,10241.6667
name,Sungai,17,1.0863,1600.0,10241.6667
name,Jalan Kompleks BTN Palupi,16,1.0224,1500.0,9633.3333
name,s,16,1.0224,1500.0,9633.3333
name,Swiss Belvilla Palu,15,0.9585,1400.0,9025.0
name,Jalan Angkasa Raya,14,0.8946,1300.0,8416.6667
name,Jalan Gawalise,14,0.8946,1300.0,8416.6667
name,Jalan Mamara Lorong,14,0.8946,1300.0,8416.6667
name,Jalan Trans Palu-Donggala,13,0.8307,1200.0,7808.3333
name,Jalan Virgo,13,0.8307,1200.0,7808.3333
name,Jalan Jepang,12,0.7668,1100.0,7200.0
name,Jalan Kompleks BTN Pertiwi,12,0.7668,1100.0,7200.0
name,Jalan Bulu Masomba Lorong 1,11,0.7029,1000.0,6591.6667
name,Jalan Duyu,11,0.7029,1000.0,6591.6667
name,Jalan Kanna,11,0.7029,1000.0,6591.6667
name,Jalan Kompleks Mesjid Agung Darussalam,11,0.7029,1000.0,6591.6667
name,Jalan Lele Mina,11,0.7029,1000.0,6591.6667
name,Jalan Cemangi,10,0.639,900.0,5983.3333
name,Jalan Malontara,10,0.639,900.0,5983.3333
name,Jalan Raja Moili,10,0.639,900.0,5983.3333
name,Jalan Kanuna,9,0.5751,800.0,5375.0
name,Jalan Lasoso,9,0.5751,800.0,5375.0
name,Jalan Banteng Lorong,8,0.5112,700.0,4766.6667
name,Jalan Labu,8,0.5112,700.0,4766.6667
name,Jalan Mamara,8,0.5112,700.0,4766.6667
name,Jalan Tanggul Mas,8,0.5112,700.0,4766.6667
name,jalan desa,8,0.5112,700.0,4766.6667
name,Jalan Arsitektur,7,0.4473,600.0,4158.3333
name,Jalan BTN Palupi,7,0.4473,600.0,4158.3333
name,Jalan Bandea,7,0.4473,600.0,4158.3333
name,Jalan Cemara 1,7,0.4473,600.0,4158.3333
name,Jalan Kebun Sari,7,0.4473,600.0,4158.3333
name,Jalan Kompleks Bumi Anggur,7,0.4473,600.0,4158.3333
name,Jalan Lembu,7,0.4473,600.0,4158.3333
name,Jalan Wenumpu,7,0.4473,600.0,4158.3333
name,Jalan Adam Malik Lorong,6,0.3834,500.0,3550.0
name,Jalan Bayam,6,0.3834,500.0,3550.0
name,Jalan Cumi,6,0.3834,500.0,3550.0
name,Jalan Kelapa 2,6,0.3834,500.0,3550.0
name,Jalan Kelor,6,0.3834,500.0,3550.0
name,Jalan Omar Syarif,6,0.3834,500.0,3550.0
name,Jalan PDAM,6,0.3834,500.0,3550.0
name,Jalan Patimura,6,0.3834,500.0,3550.0
name,Jalan Ramba Lorong,6,0.3834,500.0,3550.0
name,Jalan Tambang,6,0.3834,500.0,3550.0
name,Jalan Tanggul Mas Lorong,6,0.3834,500.0,3550.0
name,Jalan Tanggul Selatan,6,0.3834,500.0,3550.0
name,Jalan Veteran,6,0.3834,500.0,3550.0
name,Pos Aju PMI,6,0.3834,500.0,3550.0
name,Salo Lariang,6,0.3834,500.0,3550.0
name,Jalan Bantilan Lorong III,5,0.3195,400.0,2941.6667
name,Jalan Bulu Masomba 1,5,0.3195,400.0,2941.6667
name,Jalan Datu Pamusu,5,0.3195,400.0,2941.6667
name,Jalan Dayo Dara,5,0.3195,400.0,2941.6667
name,Jalan Dewi Sartika 4,5,0.3195,400.0,2941.6667
name,Jalan Jalur Gaza,5,0.3195,400.0,2941.6667
name,Jalan Maleo,5,0.3195,400.0,2941.6667
name,Jalan Manggis,5,0.3195,400.0,2941.6667
name,Jalan Merdeka,5,0.3195,400.0,2941.6667
name,Jalan Merpati 2 A,5,0.3195,400.0,2941.6667
name,Jalan Munif Rahman,5,0.3195,400.0,2941.6667
name,Jalan Mutiara,5,0.3195,400.0,2941.6667
name,Jalan S Parman II,5,0.3195,400.0,2941.6667
name,Jalan Sekunder Lorong,5,0.3195,400.0,2941.6667
name,Jalan Sekunder Lorong 2,5,0.3195,400.0,2941.6667
name,Jalan Soekarno-Hatta,5,0.3195,400.0,2941.6667
name,Jalan Soekarno-Hatta Lorong,5,0.3195,400.0,2941.6667
name,Jalan Sungai Manonda,5,0.3195,400.0,2941.6667
name,Jalan Tombolotutu,5,0.3195,400.0,2941.6667
name,Jl. Tambuli,5,0.3195,400.0,2941.6667
name,Lorong B. Lalat,5,0.3195,400.0,2941.6667
name,bridge,5,0.3195,400.0,2941.6667
name,Jalan Ahmad Yani,4,0.2556,300.0,2333.3333
name,Jalan Anoa 2 Lorong,4,0.2556,300.0,2333.3333
name,Jalan Asam Lorong I,4,0.2556,300.0,2333.3333
name,Jalan BTN PEPABRI,4,0.2556,300.0,2333.3333
name,Jalan Desa Kalora,4,0.2556,300.0,2333.3333
name,Jalan Dewi Sartika,4,0.2556,300.0,2333.3333
name,Jalan Dewi Sartika 2,4,0.2556,300.0,2333.3333
name,Jalan Djaelangkara,4,0.2556,300.0,2333.3333
name,Jalan Kalantoro,4,0.2556,300.0,2333.3333
name,Jalan Kebonsari Tawaeli,4,0.2556,300.0,2333.3333
name,Jalan Kijang Selatan VII,4,0.2556,300.0,2333.3333
name,Jalan Kijang Utara I,4,0.2556,300.0,2333.3333
name,Jalan Mangga,4,0.2556,300.0,2333.3333
name,Jalan Manunggal,4,0.2556,300.0,2333.3333
name,Jalan Patimura VI,4,0.2556,300.0,2333.3333
name,Jalan Pueyuse,4,0.2556,300.0,2333.3333
name,Jalan Rumah Sakit Islam,4,0.2556,300.0,2333.3333
name,Jalan Sengon Raya,4,0.2556,300.0,2333.3333
name,Jalan Seruni Raya,4,0.2556,300.0,2333.3333
name,Jalan Sisingamangaraja Lorong,4,0.2556,300.0,2333.3333
name,Jalan Sungai Wera,4,0.2556,300.0,2333.3333
name,Jalan Tagari Lonjo,4,0.2556,300.0,2333.3333
name,Jalan Taman Ria,4,0.2556,300.0,2333.3333
name,Jalan Tanggul Sungai Palu,4,0.2556,300.0,2333.3333
name,Jembatan Ponulele,4,0.2556,300.0,2333.3333
name,Mesjid Al Ikhlas,4,0.2556,300.0,2333.3333
name,Bandar Udara Mutiara SIS Al-Jufrie,3,0.1917,200.0,1725.0
name,Bank BRI Unit Gajah Mada,3,0.1917,200.0,1725.0
name,Institut Agama Islam Negeri Palu (IAIN Palu),3,0.1917,200.0,1725.0
name,Jalan Adam Malik,3,0.1917,200.0,1725.0
name,Jalan Agatis,3,0.1917,200.0,1725.0
name,Jalan Anggrek,3,0.1917,200.0,1725.0
name,Jalan Asam,3,0.1917,200.0,1725.0
name,Jalan Bangau,3,0.1917,200.0,1725.0
name,Jalan Cemara,3,0.1917,200.0,1725.0
name,Jalan Diponegoro,3,0.1917,200.0,1725.0
name,Jalan Garuda,3,0.1917,200.0,1725.0
name,Jalan Hang Tuah,3,0.1917,200.0,1725.0
name,Jalan Hayam Wuruk I,3,0.1917,200.0,1725.0
name,Jalan Jambu,3,0.1917,200.0,1725.0
name,Jalan Jenderal Sudirman,3,0.1917,200.0,1725.0
name,Jalan Karanja Lemba,3,0.1917,200.0,1725.0
name,Jalan Kebun Sari Lorong,3,0.1917,200.0,1725.0
name,Jalan Kesehatan,3,0.1917,200.0,1725.0
name,Jalan Kompleks Bumi Talise Indah,3,0.1917,200.0,1725.0
name,Jalan Kramat Jaya,3,0.1917,200.0,1725.0
name,Jalan Lekatu,3,0.1917,200.0,1725.0
name,Jalan Malaya Lorong I,3,0.1917,200.0,1725.0
name,Jalan Munif Rahman II,3,0.1917,200.0,1725.0
name,Jalan Pangeran Hidayat,3,0.1917,200.0,1725.0
name,Jalan Pelita Air Permai 1,3,0.1917,200.0,1725.0
name,Jalan Perumahan BTN Silae,3,0.1917,200.0,1725.0
name,Jalan Pipa Air,3,0.1917,200.0,1725.0
name,Jalan S Parman,3,0.1917,200.0,1725.0
name,Jalan Sagu,3,0.1917,200.0,1725.0
name,Jalan Samratulangi Lorong 4,3,0.1917,200.0,1725.0
name,Jalan Samudra 2,3,0.1917,200.0,1725.0
name,Jalan Samudra III,3,0.1917,200.0,1725.0
name,Jalan Seroja,3,0.1917,200.0,1725.0
name,Jalan Sulawesi,3,0.1917,200.0,1725.0
name,Jalan Sumur Yuga,3,0.1917,200.0,1725.0
name,Jalan TPA Kawatuna,3,0.1917,200.0,1725.0
name,Jalan Tadulako,3,0.1917,200.0,1725.0
name,Jalan Tamako,3,0.1917,200.0,1725.0
name,Jalan Tinombala,3,0.1917,200.0,1725.0
name,Jalan Wahid Hazyim,3,0.1917,200.0,1725.0
name,Jl. Bumi Beringin,3,0.1917,200.0,1725.0
name,Jl. Keranja Lembah,3,0.1917,200.0,1725.0
name,Jl. Kh Dewantoro,3,0.1917,200.0,1725.0
name,Jl. Tondei,3,0.1917,200.0,1725.0
name,Kamp Pengungsi,3,0.1917,200.0,1725.0
name,Mesjid Ar Rahman,3,0.1917,200.0,1725.0
name,Poso,3,0.1917,200.0,1725.0
name,Bina Marga,2,0.1278,100.0,1116.6667
name,Danau Lindu,2,0.1278,100.0,1116.6667
name,Dinas Kesehatan Kota Palu,2,0.1278,100.0,1116.6667
name,Dinas Pendapatan Daerah (BAPEDA) Kota Palu,2,0.1278,100.0,1116.6667
name,"Dinas Pertanian, Kehutanan dan Kelautan Kota Palu",2,0.1278,100.0,1116.6667
name,Gardu Induk Parigi,2,0.1278,100.0,1116.6667
name,Gardu Induk Talise,2,0.1278,100.0,1116.6667
name,Gudang Logistik PMI Donggala,2,0.1278,100.0,1116.6667
name,Jalan Abadi,2,0.1278,100.0,1116.6667
name,Jalan Agus Salim,2,0.1278,100.0,1116.6667
name,Jalan Ahmad Yani II,2,0.1278,100.0,1116.6667
name,Jalan Analis,2,0.1278,100.0,1116.6667
name,Jalan Anoa Lorong Sehati,2,0.1278,100.0,1116.6667
name,Jalan Anyelir Lorong I,2,0.1278,100.0,1116.6667
name,Jalan Asam 2,2,0.1278,100.0,1116.6667
name,Jalan Asam II,2,0.1278,100.0,1116.6667
name,Jalan Asam III,2,0.1278,100.0,1116.6667
name,Jalan Banteng 2,2,0.1278,100.0,1116.6667
name,Jalan Beringin Lorong 1,2,0.1278,100.0,1116.6667
name,Jalan Bone,2,0.1278,100.0,1116.6667
name,Jalan Bougenville,2,0.1278,100.0,1116.6667
name,Jalan Bulu Masomba 2,2,0.1278,100.0,1116.6667
name,Jalan Buvu Bionga,2,0.1278,100.0,1116.6667
name,Jalan Cempedak,2,0.1278,100.0,1116.6667
name,Jalan Cendana I,2,0.1278,100.0,1116.6667
name,Jalan Cut Mautia,2,0.1278,100.0,1116.6667
name,Jalan Cut Niadin,2,0.1278,100.0,1116.6667
name,Jalan Dewi Sartika 5,2,0.1278,100.0,1116.6667
name,Jalan Dewi Sartika 7,2,0.1278,100.0,1116.6667
name,Jalan Durian,2,0.1278,100.0,1116.6667
name,Jalan Gajah Mada,2,0.1278,100.0,1116.6667
name,Jalan Gawalise Lorong I,2,0.1278,100.0,1116.6667
name,Jalan Gunung Lolo,2,0.1278,100.0,1116.6667
name,Jalan Hasanuddin Toto,2,0.1278,100.0,1116.6667
name,Jalan I Gusti Ngurah Rai,2,0.1278,100.0,1116.6667
name,Jalan Jati Lorong 1,2,0.1278,100.0,1116.6667
name,Jalan Kadia,2,0.1278,100.0,1116.6667
name,Jalan Kamboja Lorong I,2,0.1278,100.0,1116.6667
name,Jalan Kambojo,2,0.1278,100.0,1116.6667
name,Jalan Kancil 2,2,0.1278,100.0,1116.6667
name,Jalan Kanna Lorong I,2,0.1278,100.0,1116.6667
name,Jalan Kendondong,2,0.1278,100.0,1116.6667
name,Jalan Ketimun,2,0.1278,100.0,1116.6667
name,Jalan Kijang Selatan,2,0.1278,100.0,1116.6667
name,Jalan Kiyai Haji Mansyur,2,0.1278,100.0,1116.6667
name,Jalan Kompleks Samapla,2,0.1278,100.0,1116.6667
name,Jalan Langsat,2,0.1278,100.0,1116.6667
name,Jalan Latjen Soeprapto,2,0.1278,100.0,1116.6667
name,Jalan Malaya,2,0.1278,100.0,1116.6667
name,Jalan Mandala,2,0.1278,100.0,1116.6667
name,Jalan Mangga 3,2,0.1278,100.0,1116.6667
name,Jalan Melati,2,0.1278,100.0,1116.6667
name,Jalan Merpati,2,0.1278,100.0,1116.6667
name,Jalan Mohamad Hatta,2,0.1278,100.0,1116.6667
name,Jalan Mokolembake,2,0.1278,100.0,1116.6667
name,Jalan Munif Rahman Lorong I,2,0.1278,100.0,1116.6667
name,Jalan Nangka,2,0.1278,100.0,1116.6667
name,Jalan Nunumbuku,2,0.1278,100.0,1116.6667
name,Jalan Nuri,2,0.1278,100.0,1116.6667
name,Jalan Otista IV,2,0.1278,100.0,1116.6667
name,Jalan PU,2,0.1278,100.0,1116.6667
name,Jalan Padanjakaya,2,0.1278,100.0,1116.6667
name,Jalan Padanjakaya Lorong I,2,0.1278,100.0,1116.6667
name,Jalan Pakora 1,2,0.1278,100.0,1116.6667
name,Jalan Pekuburan Teratai,2,0.1278,100.0,1116.6667
name,Jalan Poros Palu-Palolo,2,0.1278,100.0,1116.6667
name,Jalan Posirampe,2,0.1278,100.0,1116.6667
name,Jalan Pue Indah 1,2,0.1278,100.0,1116.6667
name,Jalan Ramba I,2,0.1278,100.0,1116.6667
name,Jalan Samratulangi,2,0.1278,100.0,1116.6667
name,Jalan Selar,2,0.1278,100.0,1116.6667
name,Jalan Setiabudi,2,0.1278,100.0,1116.6667
name,Jalan Simpati,2,0.1278,100.0,1116.6667
name,Jalan Sintuvu,2,0.1278,100.0,1116.6667
name,Jalan Sis Aljufri,2,0.1278,100.0,1116.6667
name,Jalan Suharso,2,0.1278,100.0,1116.6667
name,Jalan Sultan Hasanuddin,2,0.1278,100.0,1116.6667
name,Jalan Sungai Lariang,2,0.1278,100.0,1116.6667
name,Jalan Sungai Nil,2,0.1278,100.0,1116.6667
name,Jalan Tadulako II,2,0.1278,100.0,1116.6667
name,Jalan Tavanjuka Mas,2,0.1278,100.0,1116.6667
name,Jalan Teratai,2,0.1278,100.0,1116.6667
name,Jalan Teuku Umar,2,0.1278,100.0,1116.6667
name,Jalan Tinombala II,2,0.1278,100.0,1116.6667
name,Jalan Towua,2,0.1278,100.0,1116.6667
name,Jalan Towua II,2,0.1278,100.0,1116.6667
name,Jalan Venanda,2,0.1278,100.0,1116.6667
name,Jalan Veteran 1,2,0.1278,100.0,1116.6667
name,Jalan Veteran III,2,0.1278,100.0,1116.6667
name,Jalan Wuno,2,0.1278,100.0,1116.6667
name,Jalan Yos Sudarso,2,0.1278,100.0,1116.6667
name,Jalan Zebra II,2,0.1278,100.0,1116.6667
name,Jl. Donggala 8,2,0.1278,100.0,1116.6667
name,Jl. Kemuning,2,0.1278,100.0,1116.6667
name,Jl. Ki Hajar,2,0.1278,100.0,1116.6667
name,Jl. Poros Palu-Palolo,2,0.1278,100.0,1116.6667
name,KFC,2,0.1278,100.0,1116.6667
name,Kafe SMS Karoke,2,0.1278,100.0,1116.6667
name,Kamp Balaroa Atas,2,0.1278,100.0,1116.6667
name,Kamp Petobo Atas,2,0.1278,100.0,1116.6667
name,Kamp Terpadu Gunung Bale,2,0.1278,100.0,1116.6667
name,Kamp Terpadu Jono Oge,2,0.1278,100.0,1116.6667
name,Kamp Terpadu Loli Oge,2,0.1278,100.0,1116.6667
name,Kamp Terpadu Loli Saluran,2,0.1278,100.0,1116.6667
name,Kamp Wakatuna Atas,2,0.1278,100.0,1116.6667
name,Kantor Pos Kamonji,2,0.1278,100.0,1116.6667
name,Klinik Lapangan PMI Tompe,2,0.1278,100.0,1116.6667
name,Mesjid,2,0.1278,100.0,1116.6667
name,Mesjid Al Ikhsan,2,0.1278,100.0,1116.6667
name,Mesjid Al Khalwad,2,0.1278,100.0,1116.6667
name,Mesjid Ar Rahmah,2,0.1278,100.0,1116.6667
name,PMI Basecamp,2,0.1278,100.0,1116.6667
name,PMI Kabupaten Donggala,2,0.1278,100.0,1116.6667
name,PMI Kabupaten Sigi,2,0.1278,100.0,1116.6667
name,PMI Provinsi Sulawesi Tengah,2,0.1278,100.0,1116.6667
name,PMI Repeater1,2,0.1278,100.0,1116.6667
name,Palu,2,0.1278,100.0,1116.6667
name,Palu Grand Mall,2,0.1278,100.0,1116.6667
name,Pantoloan Port,2,0.1278,100.0,1116.6667
name,Perbatasan Mantikulore - Palu Timur,2,0.1278,100.0,1116.6667
name,Port of Portoloan,2,0.1278,100.0,1116.6667
name,Portoloan Port,2,0.1278,100.0,1116.6667
name,RSUD Undata,2,0.1278,100.0,1116.6667
name,Road,2,0.1278,100.0,1116.6667
name,Ruas Moengko - Lembomawo,2,0.1278,100.0,1116.6667
name,Rumah Sakit Bala Kesalamatan,2,0.1278,100.0,1116.6667
name,Sigi Biromaru,2,0.1278,100.0,1116.6667
