key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,134716,11.6143,108.8685,108.8685
name,63106,5.4406,91.2941,91.2941
tiger:county,48477,4.1794,74.0271,74.0271
tiger:cfcc,48252,4.16,73.9563,73.9563
tiger:name_base,37217,3.2086,112.6686,112.6686
tiger:reviewed,34943,3.0126,69.5768,69.5768
oneway,32798,2.8276,126.5994,126.5994
tiger:name_type,31844,2.7454,120.2061,120.2061
building,28775,2.4808,258.433,258.433
tiger:zip_left,20396,1.7584,112.4583,112.4583
tiger:zip_right,18666,1.6093,113.3257,113.3257
service,17919,1.5449,88.5417,88.5417
ref,15527,1.3386,254.5787,254.5787
surface,15427,1.33,142.4866,142.4866
power,15344,1.3229,-42.9591,-42.9591
lanes,9439,0.8138,96.4412,96.4412
amenity,9112,0.7856,177.6356,177.6356
access,8299,0.7155,250.7608,250.7608
tiger:name_base_1,7316,0.6307,74.0661,74.0661
leisure,7148,0.6163,283.8883,283.8883
landuse,6707,0.5782,242.5434,242.5434
natural,6581,0.5674,336.6954,336.6954
addr:city,4910,0.4233,97.6651,97.6651
footway,4676,0.4031,783.9319,783.9319
addr:state,4635,0.3996,51.5201,51.5201
is_in,4495,0.3875,68.7946,68.7946
layer,4366,0.3764,166.3819,166.3819
addr:street,4136,0.3566,68.0618,68.0618
barrier,4113,0.3546,266.5775,266.5775
addr:postcode,4074,0.3512,75.9067,75.9067
addr:housenumber,3950,0.3405,68.0851,68.0851
maxspeed,3858,0.3326,124.4328,124.4328
operator,3848,0.3317,151.339,151.339
tiger:name_direction_prefix,3726,0.3212,124.5931,124.5931
tiger:name_type_1,3446,0.2971,119.3507,119.3507
bridge,3400,0.2931,120.35,120.35
voltage,3346,0.2885,48.7111,48.7111
waterway,3321,0.2863,316.6876,316.6876
frequency,3320,0.2862,47.0979,47.0979
cables,2986,0.2574,49.7492,49.7492
circuits,2901,0.2501,250.3623,250.3623
turn:lanes,2860,0.2466,78.1931,78.1931
name_1,2447,0.211,108.6104,108.6104
old_ref,2430,0.2095,71.9745,71.9745
source,2195,0.1892,7.44,7.44
phone,1984,0.171,196.1194,196.1194
shop,1886,0.1626,220.7483,220.7483
note,1871,0.1613,360.8374,360.8374
website,1795,0.1548,185.3736,185.3736
railway,1766,0.1523,-77.0232,-77.0232
destination:ref,1761,0.1518,2989.4737,2989.4737
tiger:name_base_2,1729,0.1491,212.0939,212.0939
sport,1409,0.1215,140.4437,140.4437
bicycle,1337,0.1153,27.0913,27.0913
foot,1328,0.1145,57.5326,57.5326
toll,1296,0.1117,244.6809,244.6809
opening_hours,1232,0.1062,139.6887,139.6887
material,1215,0.1047,-92.6113,-92.6113
destination,1119,0.0965,1334.6154,1334.6154
gnis:feature_id,1057,0.0911,49.2938,49.2938
crossing,1038,0.0895,193.2203,193.2203
building:levels,1034,0.0891,341.8803,341.8803
ele,1028,0.0886,-4.0149,-4.0149
tiger:name_type_2,1015,0.0875,262.5,262.5
frontage_road,994,0.0857,99300.0,99300.0
lit,959,0.0827,125.1174,125.1174
addr:country,951,0.082,234.8592,234.8592
NHS,940,0.081,26.6846,26.6846
tiger:zip_left_1,938,0.0809,70.5455,70.5455
man_made,931,0.0803,113.5321,113.5321
noref,930,0.0802,46400.0,46400.0
line,926,0.0798,40.9437,40.9437
tunnel,918,0.0791,238.7454,238.7454
height,851,0.0734,386.2857,386.2857
place,843,0.0727,52.9946,52.9946
gnis:created,814,0.0702,22.7753,22.7753
gnis:state_id,775,0.0668,26.634,26.634
gnis:county_id,773,0.0666,26.3072,26.3072
cuisine,729,0.0628,69.5349,69.5349
water,728,0.0628,148.4642,148.4642
hgv,720,0.0621,238.0282,238.0282
basin,672,0.0579,4380.0,4380.0
gauge,660,0.0569,-83.1504,-83.1504
attribution,636,0.0548,430.0,430.0
noexit,625,0.0539,892.0635,892.0635
lanes:forward,614,0.0529,43.4579,43.4579
lanes:backward,600,0.0517,43.1981,43.1981
intermittent,589,0.0508,2460.8696,2460.8696
maxspeed:type,571,0.0492,57000.0,57000.0
nature,565,0.0487,56400.0,56400.0
hov,551,0.0475,264.9007,264.9007
tourism,531,0.0458,122.1757,122.1757
tiger:name_direction_suffix,492,0.0424,215.3846,215.3846
FIXME,488,0.0421,106.7797,106.7797
description,487,0.042,159.0426,159.0426
cycleway,486,0.0419,113.1579,113.1579
parking,484,0.0417,65.1877,65.1877
PASS_route,482,0.0416,116.1435,116.1435
golf,467,0.0403,17.9293,17.9293
sidewalk,462,0.0398,156.6667,156.6667
Texas_Trunk_System,455,0.0392,163.0058,163.0058
source:Texas_Trunk_System,455,0.0392,164.5349,164.5349
motor_vehicle,452,0.039,18.3246,18.3246
boundary,439,0.0378,-38.0818,-38.0818
old_name,423,0.0365,0.0,0.0
healthcare,421,0.0363,42000.0,42000.0
admin_level,417,0.036,-38.5862,-38.5862
tiger:name_direction_prefix_1,414,0.0357,83.1858,83.1858
location,392,0.0338,292.0,292.0
turn:lanes:forward,391,0.0337,75.3363,75.3363
religion,381,0.0328,252.7778,252.7778
seamark:type,378,0.0326,37700.0,37700.0
construction,377,0.0325,144.8052,144.8052
voltage:primary,377,0.0325,1156.6667,1156.6667
voltage:secondary,377,0.0325,1156.6667,1156.6667
tiger:name_direction_suffix_1,359,0.031,259.0,259.0
name_2,358,0.0309,102.2599,102.2599
turn:lanes:backward,350,0.0302,52.8384,52.8384
source_ref,347,0.0299,105.3254,105.3254
border_type,338,0.0291,-46.0925,-46.0925
postal_code,334,0.0288,-27.0742,-27.0742
substation,329,0.0284,24.6212,24.6212
area,323,0.0278,67.3575,67.3575
tiger:zip_right_1,312,0.0269,87.9518,87.9518
aeroway,305,0.0263,-70.4743,-70.4743
horse,300,0.0259,79.6407,79.6407
hgv:national_network,299,0.0258,179.4393,179.4393
residential,293,0.0253,910.3448,910.3448
fut_ref,283,0.0244,240.9639,240.9639
tower:type,265,0.0228,1458.8235,1458.8235
placement,257,0.0222,3.629,3.629
generator:source,250,0.0216,-1.9608,-1.9608
generator:method,249,0.0215,-2.3529,-2.3529
width,247,0.0213,160.0,160.0
addr:unit,245,0.0211,1261.1111,1261.1111
generator:output:electricity,244,0.021,0.4115,0.4115
wikidata,242,0.0209,2.5424,2.5424
capacity:disabled,240,0.0207,1900.0,1900.0
generator:type,239,0.0206,-4.0161,-4.0161
email,233,0.0201,253.0303,253.0303
disabled,224,0.0193,22300.0,22300.0
ref:walmart,223,0.0192,22200.0,22200.0
note:lanes,222,0.0191,1485.7143,1485.7143
tiger:name_base_3,216,0.0186,237.5,237.5
wikipedia,214,0.0184,67.1875,67.1875
expressway,211,0.0182,142.5287,142.5287
emergency,210,0.0181,138.6364,138.6364
covered,202,0.0174,512.1212,512.1212
traffic_signals,202,0.0174,-30.5842,-30.5842
toll_method,199,0.0172,22.8395,22.8395
manufacturer,198,0.0171,-1.9802,-1.9802
segregated,198,0.0171,157.1429,157.1429
denomination,196,0.0169,184.058,184.058
old_railway_operator,194,0.0167,-60.6491,-60.6491
addr:full,190,0.0164,6233.3333,6233.3333
smoking,189,0.0163,302.1277,302.1277
usage,184,0.0159,-57.7982,-57.7982
