period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.7778,0.002425,0.9766,0.983,2.0839197324475685e-06
pre,post,0.7778,0.002425,0.9987,0.9984,4.824741776115201e-10
imm,post,0.7778,0.002425,0.9729,0.9764,6.5286222741481306e-06
