period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.6,0.0166661,0.9997,0.9998,5.539206592914486e-15
pre,post,highway,0.5152,0.0209804,0.8985,0.8612,0.00031947830373449924
pre,post,source,0.4428,0.0462291,0.8151,0.7525,0.004743996452118873
pre,post,name,nan,nan,0,0,0
pre,post,surface,0.7502,0.002925,0.862,0.8173,0.0038879596292692533
pre,post,amenity,0.6,0.0099455,0.863,0.8559,0.0007747457446652114
pre,post,landuse,0.3333,0.2163735,0.2753,0.0511,0.8884045342144313
pre,post,waterway,0.5238,0.1361111,0.8134,0.6368,0.1240517117336477
pre,post,natural,0.2936,0.1735462,0.6647,0.4549,0.11834042166751453
pre,post,leisure,0.6928,0.0209464,0.8661,0.7736,0.02431353226477091
pre,post,emergency,1.0,1.0,0.9799,1.0,1.0
