period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.3333,0.2163735,0.9997,0.9998,6.52261411432275e-15
pre,imm,highway,0.7179,0.000284,0.8963,0.8596,0.0001649920370145418
pre,imm,source,0.5,0.1086806,0.7948,0.7469,0.033213069325748586
pre,imm,name,nan,nan,0,0,0
pre,imm,surface,0.3865,0.1253157,0.8982,0.8711,0.0010306402007127533
pre,imm,amenity,0.3596,0.1507628,0.891,0.9052,0.0003150139979912706
pre,imm,landuse,0.6667,0.0018033,0.987,0.9898,8.374866722996352e-10
pre,imm,waterway,0.619,0.0690476,0.9372,0.912,0.004202678248556552
pre,imm,natural,0.5795,0.0148788,0.4161,0.1064,0.7555367121218711
pre,imm,leisure,0.9305,0.0002776,0.9483,0.927,0.00011392429048776662
pre,imm,emergency,1.0,1.0,0.9872,1.0,1.0
