period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
imm,post,building,0.2727,0.2829668,1.0,1.0,4.127771192457185e-21
imm,post,highway,0.7273,0.0004989,0.9907,0.9946,3.5536154451405873e-11
imm,post,source,0.6364,0.0057072,0.9868,0.9892,8.102919310848559e-09
imm,post,name,1.0,0.3333333,0.8186,0.9149,0.2645732019987678
imm,post,surface,0.4222,0.1083135,0.6437,0.5444,0.1037511009872255
imm,post,amenity,0.4037,0.0858128,0.9575,0.9313,3.0856552095557284e-05
imm,post,landuse,0.7707,0.0010394,0.2732,0.1161,0.7338717369578744
imm,post,waterway,0.7143,0.0301587,0.7526,0.604,0.15088709609099757
imm,post,natural,-0.1101,0.6394119,0.1292,-0.2171,0.5213229175582058
imm,post,leisure,0.7937,0.0074908,0.8791,0.8082,0.015191152433832952
imm,post,emergency,1.0,1.0,1.0,1.0,1.0
