key,count,percent_of_total_changes
building,444764,10.01
highway,104189,2.34
source,77421,1.74
name,63259,1.42
surface,32481,0.73
amenity,17121,0.39
oneway,14614,0.33
addr:street,14006,0.32
ref,12574,0.28
addr:housenumber,12366,0.28
source:date,11988,0.27
building:levels,11861,0.27
barrier,9543,0.21
landuse,9493,0.21
natural,8690,0.2
waterway,8643,0.19
shop,7539,0.17
maxspeed,7510,0.17
addr:city,7071,0.16
lit,7050,0.16
lanes,6805,0.15
operator:type,6568,0.15
crossing,6481,0.15
public_transport,6381,0.14
bus,6359,0.14
power:inverter,5911,0.13
waste:collection,5911,0.13
household:water:jar_delivered,5910,0.13
waste:segregation,5909,0.13
household:water:public_supply,5908,0.13
household:water:tanker_delivered,5907,0.13
internet_access:provider,5904,0.13
power:solar_panel,5904,0.13
heating:solar,5901,0.13
waste:blackwater,5900,0.13
office:name,5899,0.13
office:type,5892,0.13
smoothness,5832,0.13
network,5696,0.13
area,5481,0.12
bicycle,5405,0.12
operator,5398,0.12
layer,4769,0.11
foot,4765,0.11
building:material,4625,0.1
footway,4418,0.1
operational_status,4267,0.1
service,4151,0.09
man_made,4096,0.09
Household Code,4052,0.09
building:roof,3996,0.09
addr:country,3926,0.09
addr:postcode,3635,0.08
network:wikidata,3627,0.08
Household Info By,3619,0.08
operational_status_quality,3384,0.08
name:etymology:wikidata,3369,0.08
access,3044,0.07
tactile_paving,3002,0.07
bridge,2951,0.07
kll:oid,2907,0.07
project,2840,0.06
cosmha,2724,0.06
phone,2499,0.06
railway,2381,0.05
power,2256,0.05
sidewalk,2234,0.05
abandoned,2222,0.05
disused,2173,0.05
website,2127,0.05
crossing_ref,2123,0.05
network:wikipedia,2104,0.05
source:haiti,2046,0.05
type:haiti,2034,0.05
leisure,2017,0.05
gauge,1899,0.04
content,1892,0.04
religion,1855,0.04
opening_hours,1802,0.04
leaf_type,1752,0.04
cycleway:right,1730,0.04
practicability,1646,0.04
place,1639,0.04
cycleway:both,1597,0.04
fee,1553,0.03
maxspeed:type,1548,0.03
segregated,1532,0.03
old_ref,1515,0.03
historic,1478,0.03
junction,1476,0.03
name:en,1469,0.03
alt,1468,0.03
note,1456,0.03
voltage,1404,0.03
crossing:island,1389,0.03
electrified,1335,0.03
genus,1314,0.03
species,1303,0.03
admin_level,1290,0.03
boundary,1286,0.03
building_status,1280,0.03
tracktype,1273,0.03
shelter,1269,0.03
wheelchair,1260,0.03
bench,1258,0.03
frequency,1249,0.03
railway:scmt,1236,0.03
tourism,1210,0.03
usage,1142,0.03
trolleybus,1133,0.03
cycleway,1125,0.03
species:it,1087,0.02
int_ref,1077,0.02
parking,1064,0.02
genus:it,1063,0.02
source:maxspeed,1061,0.02
brand,1037,0.02
tunnel,1006,0.02
drinking_water,985,0.02
alt_name,943,0.02
description,927,0.02
covered,920,0.02
trolley_wire,917,0.02
kill:oid,900,0.02
source:name:etymology,896,0.02
brand:wikidata,895,0.02
passenger_lines,888,0.02
building:structure,875,0.02
lane_markings,858,0.02
wikidata,847,0.02
office,844,0.02
height,841,0.02
motor_vehicle,832,0.02
loc_ref,824,0.02
gender_access,790,0.02
building:soft_storey,776,0.02
building:adjacency,775,0.02
building:overhang,775,0.02
shape:elevation,772,0.02
disability_access,767,0.02
shape:plan,760,0.02
width,749,0.02
source_date,749,0.02
denomination,724,0.02
condition,715,0.02
source_type_imagery,704,0.02
bin,701,0.02
colour,693,0.02
ford,689,0.02
nat_ref,677,0.02
zone:maxspeed,676,0.02
crop,660,0.01
leaf_cycle,652,0.01
IOM:project,632,0.01
fixme,619,0.01
capacity,618,0.01
building:use,612,0.01
name:np,609,0.01
email,597,0.01
building:gable_wall,592,0.01
roof:material:type,592,0.01
incline,588,0.01
cuisine,583,0.01
building:part,572,0.01
cycleway:left,567,0.01
floor:material:type,566,0.01
trolley_wire:both,558,0.01
source:geometry,553,0.01
direction,550,0.01
roof:shape,549,0.01
railway:traffic_mode,548,0.01
sport,541,0.01
trolley_wire:forward,539,0.01
Household code,539,0.01
traffic_calming,519,0.01
name:ne,518,0.01
boat,515,0.01
old_name,500,0.01
horse,497,0.01
building:colour,496,0.01
contact_person,491,0.01
source:name,490,0.01
FIXME:COSMHA,490,0.01
rer_edi_id:ref,488,0.01
construction,485,0.01
school_type,483,0.01
water,481,0.01
toll,480,0.01
lanes:forward,474,0.01
addr:district,473,0.01
healthcare,467,0.01
level,439,0.01
emergency,438,0.01
abandoned:railway,431,0.01
wikipedia,429,0.01
material,423,0.01
school_district,423,0.01
operator:wikidata,410,0.01
damage_status,407,0.01
water_type,407,0.01
