period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.2857,0.3987599,0.5646,0.3501,0.3951794583320386
pre,post,0.5714,0.0610119,0.7042,0.5561,0.15233339737719837
imm,post,0.3333,0.2595183,0.8821,0.7915,0.01103611822974651
