key,value,count,percent_of_total_changes_for_key,percent_difference_from_pre,percent_difference_from_pre_day
amenity,school,4876,31.8547,487500.0,487500.0
amenity,hospital,1947,12.7197,194600.0,194600.0
amenity,toilets,1218,7.9571,121700.0,121700.0
amenity,drinking_water,910,5.945,90900.0,90900.0
amenity,place_of_worship,774,5.0565,77300.0,77300.0
amenity,shower,546,3.567,54500.0,54500.0
amenity,street_light,361,2.3584,36000.0,36000.0
amenity,kindergarten,354,2.3127,35300.0,35300.0
amenity,tap,317,2.0709,31600.0,31600.0
amenity,college,292,1.9076,29100.0,29100.0
amenity,waste_basket,282,1.8423,28100.0,28100.0
amenity,pharmacy,216,1.4111,21500.0,21500.0
amenity,restaurant,183,1.1955,18200.0,18200.0
amenity,bar,174,1.1367,17300.0,17300.0
amenity,social_centre,155,1.0126,15400.0,15400.0
amenity,ctc,142,0.9277,14100.0,14100.0
amenity,university,126,0.8232,12500.0,12500.0
amenity,public_building,123,0.8036,12200.0,12200.0
amenity,fountain,106,0.6925,10500.0,10500.0
amenity,community_centre,100,0.6533,9900.0,9900.0
amenity,community_information_kiosk,100,0.6533,9900.0,9900.0
amenity,utc,97,0.6337,9600.0,9600.0
amenity,market,94,0.6141,9300.0,9300.0
amenity,parking,77,0.503,7600.0,7600.0
amenity,abri temporaire,76,0.4965,7500.0,7500.0
amenity,shelter,73,0.4769,7200.0,7200.0
amenity,fuel,67,0.4377,6600.0,6600.0
amenity,communal_cooking_area,55,0.3593,5400.0,5400.0
amenity,cro,55,0.3593,5400.0,5400.0
amenity,police,51,0.3332,5000.0,5000.0
amenity,bank,47,0.307,4600.0,4600.0
amenity,radio chimen lakay,45,0.294,4400.0,4400.0
amenity,grave_yard,42,0.2744,4100.0,4100.0
amenity,marketplace,40,0.2613,3900.0,3900.0
amenity,doctors,39,0.2548,3800.0,3800.0
amenity,eau_brute,36,0.2352,3500.0,3500.0
amenity,dentist,34,0.2221,3300.0,3300.0
amenity,shop,34,0.2221,3300.0,3300.0
amenity,CRO,33,0.2156,3200.0,3200.0
amenity,pont,33,0.2156,3200.0,3200.0
amenity,nightclub,27,0.1764,2600.0,2600.0
amenity,arts_centre,25,0.1633,2400.0,2400.0
amenity,shelter_emergency,23,0.1503,2200.0,2200.0
amenity,Douches et toilettes,22,0.1437,2100.0,2100.0
amenity,bureau_de_change,21,0.1372,2000.0,2000.0
amenity,Ecole etzer vilaire,20,0.1307,1900.0,1900.0
amenity,eau brute,20,0.1307,1900.0,1900.0
amenity,eau potable,20,0.1307,1900.0,1900.0
amenity,telephone,20,0.1307,1900.0,1900.0
amenity,bench,19,0.1241,1800.0,1800.0
amenity,post_office,19,0.1241,1800.0,1800.0
amenity,courthouse,18,0.1176,1700.0,1700.0
amenity,eglise,17,0.1111,1600.0,1600.0
amenity,non,17,0.1111,1600.0,1600.0
amenity,8 chambres de toilettes,15,0.098,1400.0,1400.0
amenity,Ecole,14,0.0915,1300.0,1300.0
amenity,espace residentiel,14,0.0915,1300.0,1300.0
amenity,library,13,0.0849,1200.0,1200.0
amenity,bureau,12,0.0784,1100.0,1100.0
amenity,"kindergarten, High school",12,0.0784,1100.0,1100.0
amenity,fast_food,11,0.0719,1000.0,1000.0
amenity,clinique,10,0.0653,900.0,900.0
amenity,auto parts,9,0.0588,800.0,800.0
amenity,marche de cayes jacmel,9,0.0588,800.0,800.0
amenity,townhall,9,0.0588,800.0,800.0
amenity,CTC,8,0.0523,700.0,700.0
amenity,cafe,8,0.0523,700.0,700.0
amenity,ecole,8,0.0523,700.0,700.0
amenity,non_potable,8,0.0523,700.0,700.0
amenity,car_wash,7,0.0457,600.0,600.0
amenity,cinema,7,0.0457,600.0,600.0
amenity,embassy,7,0.0457,600.0,600.0
amenity,handwashing_station,7,0.0457,600.0,600.0
amenity,motorcycle_parking,7,0.0457,600.0,600.0
amenity,Ecole eben-ezer,6,0.0392,500.0,500.0
amenity,Robinet,6,0.0392,500.0,500.0
amenity,agent de sante,6,0.0392,500.0,500.0
amenity,centre de sante,6,0.0392,500.0,500.0
amenity,dispensaire,6,0.0392,500.0,500.0
amenity,quincaillerie,6,0.0392,500.0,500.0
amenity,salles de clases,6,0.0392,500.0,500.0
amenity,taxi,6,0.0392,500.0,500.0
amenity,Hospital et CTC,5,0.0327,400.0,400.0
amenity,atm,5,0.0327,400.0,400.0
amenity,car_sharing,5,0.0327,400.0,400.0
amenity,clinic,5,0.0327,400.0,400.0
amenity,station de radio,5,0.0327,400.0,400.0
amenity,studio,5,0.0327,400.0,400.0
amenity,CTU,4,0.0261,300.0,300.0
amenity,Douches,4,0.0261,300.0,300.0
amenity,Douches ,4,0.0261,300.0,300.0
amenity,Ecole ,4,0.0261,300.0,300.0
amenity,Ecole fucien denervil,4,0.0261,300.0,300.0
amenity,Ecole institution mixte la renaissance,4,0.0261,300.0,300.0
amenity,Ecole professionnele,4,0.0261,300.0,300.0
amenity,Lavabo pour laver les mains,4,0.0261,300.0,300.0
amenity,Simple poubelle,4,0.0261,300.0,300.0
amenity,UTC,4,0.0261,300.0,300.0
amenity,associetion pecheur pour le developpement de timouillage,4,0.0261,300.0,300.0
amenity,biergarten,4,0.0261,300.0,300.0
amenity,board,4,0.0261,300.0,300.0
amenity,bureau hand for help,4,0.0261,300.0,300.0
amenity,centre social,4,0.0261,300.0,300.0
amenity,centre_social_Reverant_Pere_Gerard_Dormeville_bassin,4,0.0261,300.0,300.0
amenity,diakonie katastrophenhilfe,4,0.0261,300.0,300.0
amenity,dortoir,4,0.0261,300.0,300.0
amenity,eau_ non_potable,4,0.0261,300.0,300.0
amenity,ecole classique de jesus christ,4,0.0261,300.0,300.0
amenity,ecole saint francois d'assise en beton,4,0.0261,300.0,300.0
amenity,imprimerie,4,0.0261,300.0,300.0
amenity,keket paticerie,4,0.0261,300.0,300.0
amenity,lampadaire,4,0.0261,300.0,300.0
amenity,leteri sides nan jakmel,4,0.0261,300.0,300.0
amenity,loisir,4,0.0261,300.0,300.0
amenity,maison anne marie devarieux,4,0.0261,300.0,300.0
amenity,marche des orangers,4,0.0261,300.0,300.0
amenity,prison,4,0.0261,300.0,300.0
amenity,repair_car,4,0.0261,300.0,300.0
amenity,reservoir,4,0.0261,300.0,300.0
amenity,school le praticien,4,0.0261,300.0,300.0
amenity,school nationale gonel coulanges,4,0.0261,300.0,300.0
amenity,veterinary,4,0.0261,300.0,300.0
amenity,,3,0.0196,200.0,200.0
amenity,Clinique,3,0.0196,200.0,200.0
amenity,Dourche,3,0.0196,200.0,200.0
amenity,abru temporaire,3,0.0196,200.0,200.0
amenity,bus_station,3,0.0196,200.0,200.0
amenity,cuisine,3,0.0196,200.0,200.0
amenity,eau pour laver les mains,3,0.0196,200.0,200.0
amenity,garage,3,0.0196,200.0,200.0
amenity,non-potable,3,0.0196,200.0,200.0
amenity,office,3,0.0196,200.0,200.0
amenity,pharmacie,3,0.0196,200.0,200.0
amenity,pro,3,0.0196,200.0,200.0
amenity,robinet,3,0.0196,200.0,200.0
amenity,shlter_emergency,3,0.0196,200.0,200.0
amenity,tribunal,3,0.0196,200.0,200.0
amenity,usine,3,0.0196,200.0,200.0
amenity,2 toilettes,2,0.0131,100.0,100.0
amenity,4 robinets,2,0.0131,100.0,100.0
amenity,6 toilettes,2,0.0131,100.0,100.0
amenity,Bar de l'air,2,0.0131,100.0,100.0
amenity,Bar esperancia,2,0.0131,100.0,100.0
amenity,C T C,2,0.0131,100.0,100.0
amenity,Ecolereformee de tete canal,2,0.0131,100.0,100.0
amenity,Point de vente carte de recharge,2,0.0131,100.0,100.0
amenity,Reference,2,0.0131,100.0,100.0
amenity,Restaurant le lambi,2,0.0131,100.0,100.0
amenity,Simple Poubelle,2,0.0131,100.0,100.0
amenity,U T C,2,0.0131,100.0,100.0
amenity,airport,2,0.0131,100.0,100.0
amenity,antenna,2,0.0131,100.0,100.0
amenity,auto parts jean reno,2,0.0131,100.0,100.0
amenity,boutik entran agrikol,2,0.0131,100.0,100.0
amenity,bureau casec 1er section ravine normand,2,0.0131,100.0,100.0
amenity,bureau casec(montagne la voute),2,0.0131,100.0,100.0
amenity,bureau central peredo fondation d;appui pour le service du developpement de peredo,2,0.0131,100.0,100.0
amenity,bureau la croix rouge de marigot,2,0.0131,100.0,100.0
amenity,bureau war child canada,2,0.0131,100.0,100.0
amenity,caisse,2,0.0131,100.0,100.0
amenity,caisse populaire avenir des cayes jacmel,2,0.0131,100.0,100.0
amenity,centre fondation international lifeline haiti,2,0.0131,100.0,100.0
amenity,church,2,0.0131,100.0,100.0
amenity,cimetière,2,0.0131,100.0,100.0
amenity,ctu,2,0.0131,100.0,100.0
amenity,cyber cafe,2,0.0131,100.0,100.0
amenity,cybercafe,2,0.0131,100.0,100.0
amenity,direction general des impots_agence locale des cayes jacmel,2,0.0131,100.0,100.0
amenity,eau_non potable,2,0.0131,100.0,100.0
amenity,entreprises funeraires,2,0.0131,100.0,100.0
amenity,epicerie,2,0.0131,100.0,100.0
amenity,fruit transformes patisserie,2,0.0131,100.0,100.0
amenity,gymnasium,2,0.0131,100.0,100.0
amenity,j and c Bar,2,0.0131,100.0,100.0
amenity,jacobo auto parts,2,0.0131,100.0,100.0
amenity,k-jou snack bar,2,0.0131,100.0,100.0
amenity,le relax pica pollo,2,0.0131,100.0,100.0
amenity,lucienne bar,2,0.0131,100.0,100.0
amenity,moulin de petit mil,2,0.0131,100.0,100.0
amenity,non potable,2,0.0131,100.0,100.0
amenity,non traitee,2,0.0131,100.0,100.0
amenity,omega resto,2,0.0131,100.0,100.0
amenity,ophelina,2,0.0131,100.0,100.0
amenity,ophlinat,2,0.0131,100.0,100.0
amenity,organisation etincelle de gaillard,2,0.0131,100.0,100.0
amenity,organisazyon fanm aktiv la vout,2,0.0131,100.0,100.0
amenity,patisserie,2,0.0131,100.0,100.0
amenity,petit demele,2,0.0131,100.0,100.0
amenity,petit rendez-vous snack bar,2,0.0131,100.0,100.0
amenity,piscine,2,0.0131,100.0,100.0
amenity,place public de petit bois,2,0.0131,100.0,100.0
amenity,plan haiti,2,0.0131,100.0,100.0
amenity,police station,2,0.0131,100.0,100.0
amenity,professionnelle bar,2,0.0131,100.0,100.0
amenity,radio communautaire cornillon f.m. 99.9 f.m.,2,0.0131,100.0,100.0
amenity,radio etincelle fm,2,0.0131,100.0,100.0
amenity,radio sensation fm,2,0.0131,100.0,100.0
amenity,reseau edh,2,0.0131,100.0,100.0
amenity,rivière,2,0.0131,100.0,100.0
amenity,robinet 4 bouches,2,0.0131,100.0,100.0
amenity,rosie shop grandeur de l'eternel,2,0.0131,100.0,100.0
amenity,route caye jacmel,2,0.0131,100.0,100.0
amenity,salon de beaute,2,0.0131,100.0,100.0
amenity,sant sofa pou fanm viktim vyolans,2,0.0131,100.0,100.0
amenity,sante de sante mission amour d'haiti,2,0.0131,100.0,100.0
amenity,security,2,0.0131,100.0,100.0
amenity,star mart mini bar,2,0.0131,100.0,100.0
amenity,temple vodou,2,0.0131,100.0,100.0
amenity,terrain,2,0.0131,100.0,100.0
