start_date,creates,edits,deletes,total
2021-02-28,229,202,0,431
2021-03-01,358,86,179,623
2021-03-02,924,468,220,1612
2021-03-03,90,57,0,147
2021-03-04,604,238,179,1021
2021-03-05,1000,187,46,1233
2021-03-06,540,312,15,867
2021-03-07,134,23,0,157
2021-03-08,807,323,194,1324
2021-03-09,651,51,284,986
2021-03-10,990,318,420,1728
2021-03-11,585,586,173,1344
2021-03-12,891,524,359,1774
2021-03-13,158,88,0,246
2021-03-14,426,362,44,832
2021-03-15,108,118,2,228
2021-03-16,387,303,41,731
2021-03-17,484,317,174,975
2021-03-18,617,564,121,1302
2021-03-19,618,74,69,761
2021-03-20,777,124,33,934
2021-03-21,3,1,0,4
2021-03-22,256,267,0,523
2021-03-23,189,341,133,663
2021-03-24,668,354,121,1143
2021-03-25,354,254,37,645
2021-03-26,719,399,139,1257
2021-03-27,362,223,48,633
2021-03-28,16,3,0,19
2021-03-29,1691,125,9,1825
2021-03-30,408,286,25,719
2021-03-31,74,149,1,224
2021-04-01,453,253,31,737
2021-04-02,723,545,185,1453
2021-04-03,95,120,0,215
2021-04-04,159,19,0,178
2021-04-05,163,356,0,519
2021-04-06,640,369,100,1109
2021-04-07,1290,317,14,1621
2021-04-08,1553,746,303,2602
2021-04-09,1702,156,13,1871
2021-04-10,1109,226,41,1376
2021-04-11,294,15,0,309
2021-04-12,756,92,25,873
2021-04-13,917,204,134,1255
2021-04-14,529,349,208,1086
2021-04-15,693,176,17,886
2021-04-16,833,405,167,1405
2021-04-17,4,0,0,4
2021-04-18,281,291,14,586
2021-04-19,744,74,9,827
2021-04-20,179,195,16,390
2021-04-21,186,16,0,202
2021-04-22,1348,387,120,1855
2021-04-23,504,66,105,675
2021-04-24,153,157,0,310
2021-04-25,432,478,515,1425
2021-04-26,227,223,9,459
2021-04-27,674,261,64,999
2021-04-28,30,5,0,35
2021-04-29,504,40,25,569
2021-04-30,28,40,4,72
2021-05-01,1609,1012,238,2859
2021-05-02,2207,936,276,3419
2021-05-03,2954,1226,852,5032
2021-05-04,4366,768,1358,6492
2021-05-05,3754,1595,1282,6631
2021-05-06,2230,1100,629,3959
2021-05-07,2645,1418,765,4828
2021-05-08,2425,972,548,3945
2021-05-09,1454,1197,261,2912
