start_date,creates,edits,deletes,total
2015-10-04,1612,231,172,2015
2015-10-05,203,39,6,248
2015-10-06,5,1,0,6
2015-10-07,1434,843,478,2755
2015-10-08,630,509,194,1333
2015-10-09,1324,604,236,2164
2015-10-10,623,492,117,1232
2015-10-11,472,338,68,878
2015-10-12,771,252,90,1113
2015-10-13,785,20,20,825
2015-10-14,1194,167,7,1368
2015-10-15,851,189,564,1604
2015-10-16,3274,168,123,3565
2015-10-17,4267,219,38,4524
2015-10-18,1019,194,185,1398
2015-10-19,682,182,221,1085
2015-10-20,837,708,121,1666
2015-10-21,2024,532,46,2602
2015-10-22,10327,696,262,11285
2015-10-23,2061,797,263,3121
2015-10-24,17,7,0,24
2015-10-25,226,14,3,243
2015-10-26,2830,587,285,3702
2015-10-27,8818,4265,1897,14980
2015-10-28,3560,5495,433,9488
2015-10-29,6226,6790,1756,14772
2015-10-30,11336,1978,1290,14604
2015-10-31,362,10,0,372
2015-11-01,1415,3319,67,4801
2015-11-02,85,3,37,125
2015-11-03,7643,5551,3197,16391
2015-11-04,7823,3299,1190,12312
2015-11-05,2550,801,187,3538
2015-11-06,4074,1723,517,6314
2015-11-07,2960,853,1191,5004
2015-11-08,4401,1865,1074,7340
2015-11-09,2163,1128,998,4289
2015-11-10,8327,3246,2009,13582
2015-11-11,5693,5134,850,11677
2015-11-12,1675,359,136,2170
2015-11-13,2402,837,339,3578
2015-11-14,9,2,0,11
2015-11-15,2035,695,438,3168
2015-11-16,10915,2081,1261,14257
2015-11-17,8398,3409,2303,14110
2015-11-18,23154,4470,1911,29535
2015-11-19,27572,3805,2498,33875
2015-11-20,32837,11844,7572,52253
2015-11-21,28490,8078,7656,44224
2015-11-22,1287,1434,397,3118
2015-11-23,954,546,141,1641
2015-11-24,953,501,293,1747
2015-11-25,1579,721,71,2371
2015-11-26,194,169,56,419
2015-11-27,2777,2310,271,5358
2015-11-28,788,586,117,1491
2015-11-29,366,211,41,618
2015-11-30,387,303,40,730
2015-12-01,919,155,280,1354
2015-12-02,441,195,14,650
2015-12-03,1420,706,252,2378
2015-12-04,1670,1096,357,3123
2015-12-05,1,16,56,73
2015-12-06,10,8,0,18
2015-12-07,2601,1509,216,4326
2015-12-08,1826,785,94,2705
2015-12-09,1800,1238,253,3291
2015-12-10,1811,1324,426,3561
2015-12-11,1397,2241,2753,6391
2015-12-12,432,196,82,710
2015-12-13,1734,544,338,2616
2015-12-14,490,219,38,747
2015-12-15,1593,1892,247,3732
2015-12-16,1016,1097,105,2218
2015-12-17,5580,1352,154,7086
2015-12-18,5771,470,34,6275
2015-12-19,59,617,23,699
2015-12-20,264,134,20,418
2015-12-21,7549,985,113,8647
2015-12-22,7856,1499,543,9898
2015-12-23,6542,2121,812,9475
2015-12-24,2264,1383,469,4116
2015-12-25,147,0,0,147
2015-12-26,2576,98,9,2683
2015-12-27,1711,309,75,2095
2015-12-28,7569,1225,306,9100
2015-12-29,3798,849,87,4734
2015-12-30,6970,1003,227,8200
2015-12-31,4189,602,998,5789
2016-01-01,623,12,0,635
2016-01-02,15,45,265,325
2016-01-03,140,55,4,199
2016-01-04,7914,4440,1000,13354
2016-01-05,1183,1477,250,2910
2016-01-06,4030,4815,344,9189
2016-01-07,2971,2748,106,5825
2016-01-08,4689,2778,351,7818
2016-01-09,38,14,3,55
2016-01-10,4,1,0,5
2016-01-11,5655,4282,596,10533
2016-01-12,3886,5540,555,9981
2016-01-13,2178,8587,293,11058
2016-01-14,2180,10723,130,13033
2016-01-15,7074,8074,161,15309
2016-01-16,1313,184,23,1520
2016-01-17,26547,2117,679,29343
2016-01-18,13490,8252,943,22685
2016-01-19,6096,8279,388,14763
2016-01-20,4713,6735,773,12221
2016-01-21,4405,1910,344,6659
2016-01-22,3515,363,60,3938
2016-01-23,506,108,62,676
2016-01-24,7,1,0,8
2016-01-25,1473,1170,673,3316
