start_date,creates,edits,deletes,total
2009-01-01,67,2322,146,2535
2009-02-01,49,12227,291,12567
2009-03-01,385,1119,0,1504
2009-04-01,648,1779,5217,7644
2009-05-01,271,130,4,405
2009-06-01,78,26,0,104
2009-07-01,159,69,6,234
2009-08-01,117,321,1,439
2009-09-01,101,325,4,430
2009-10-01,118,530,5,653
2009-11-01,53,161,3,217
2009-12-01,99,90,0,189
2010-01-01,839594,265632,76707,1181933
2010-02-01,344211,109479,44511,498201
2010-03-01,36336,21198,2711,60245
2010-04-01,16857,7441,1660,25958
2010-05-01,1620,1024,323,2967
2010-06-01,2173,3147,464,5784
2010-07-01,2390,3338,121,5849
2010-08-01,5987,2731,12915,21633
2010-09-01,6794,3825,221,10840
2010-10-01,13010,3950,232,17192
2010-11-01,20617,37666,1391,59674
2010-12-01,45930,5611,2866,54407
2011-01-01,11195,1865,1188,14248
total,1348859,486006,150987,1985852
