key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,227100,11.8272,142.8981,1377.6301
highway,13295,0.6924,41.768,762.4218
landuse,2671,0.1391,266.8956,2131.9483
surface,1794,0.0934,110.8108,1182.4324
waterway,860,0.0448,188.5906,1655.5928
building:roof,823,0.0429,290.0474,2272.7883
name,659,0.0343,-39.2627,269.4854
source,597,0.0311,87.1473,1038.4796
natural,532,0.0277,491.1111,3495.9259
building:levels,497,0.0259,343.75,2599.4792
layer,326,0.017,-20.098,386.0703
building:material,256,0.0133,3557.1429,22147.619
ref,224,0.0117,32.5444,706.3116
status,207,0.0108,6800.0,41875.0
ford,193,0.0101,211.2903,1793.6828
addr:city,178,0.0093,128.2051,1288.2479
place,168,0.0087,107.4074,1161.7284
barrier,165,0.0086,106.25,1154.6875
intermittent,135,0.007,694.1176,4730.8824
amenity,120,0.0062,-73.6842,60.0877
source:date,90,0.0047,8900.0,54650.0
bridge,88,0.0046,54.386,839.1813
boat,85,0.0044,97.6744,1102.5194
note,70,0.0036,536.3636,3771.2121
area,65,0.0034,170.8333,1547.5694
tunnel,53,0.0028,278.5714,2202.9762
access,48,0.0025,152.6316,1436.8421
smoothness,47,0.0024,193.75,1686.9792
boundary,44,0.0023,266.6667,2130.5556
operator:type,44,0.0023,1000.0,6591.6667
service,41,0.0021,115.7895,1212.7193
water,38,0.002,111.1111,1184.2593
width,36,0.0019,140.0,1360.0
wheelchair,32,0.0017,3100.0,19366.6667
condition,31,0.0016,3000.0,18758.3333
leisure,26,0.0014,-23.5294,365.1961
is_in,25,0.0013,1150.0,7504.1667
roof,25,0.0013,2400.0,15108.3333
unisex,25,0.0013,2400.0,15108.3333
fixme,24,0.0012,-52.9412,186.2745
tracktype,24,0.0012,166.6667,1522.2222
description,23,0.0012,-62.9032,125.672
maxspeed,22,0.0011,100.0,1116.6667
wikidata,22,0.0011,46.6667,792.2222
admin_level,21,0.0011,110.0,1177.5
level,21,0.0011,2000.0,12675.0
foot,20,0.001,-9.0909,453.0303
operator,19,0.001,46.1538,789.1026
wikipedia,19,0.001,280.0,2211.6667
oneway,15,0.0008,-40.0,265.0
building_1,13,0.0007,1200.0,7808.3333
emergency,13,0.0007,1200.0,7808.3333
power,13,0.0007,-13.3333,427.2222
lanes,12,0.0006,-76.0,46.0
seasonal,12,0.0006,1100.0,7200.0
cables,11,0.0006,83.3333,1015.2778
construction,11,0.0006,-35.2941,293.6275
frequency,11,0.0006,83.3333,1015.2778
railway,11,0.0006,-87.3563,-23.0843
residential,11,0.0006,57.1429,855.9524
source_ref,11,0.0006,1000.0,6591.6667
voltage,11,0.0006,83.3333,1015.2778
toilets:type,10,0.0005,900.0,5983.3333
bicycle,8,0.0004,-50.0,204.1667
crop,8,0.0004,300.0,2333.3333
female,8,0.0004,700.0,4766.6667
male,8,0.0004,700.0,4766.6667
man_made,8,0.0004,-20.0,386.6667
alt_name,7,0.0004,-12.5,432.2917
crossing,7,0.0004,75.0,964.5833
RA,6,0.0003,-85.0,-8.75
addr:street,6,0.0003,-80.0,21.6667
drinking_water,6,0.0003,100.0,1116.6667
horse,6,0.0003,-64.7059,114.7059
motor_vehicle,6,0.0003,-62.5,128.125
check_date,5,0.0003,400.0,2941.6667
leaf_type,5,0.0003,66.6667,913.8889
narrow,5,0.0003,400.0,2941.6667
religion,5,0.0003,-84.375,-4.9479
toilets:disposal,5,0.0003,400.0,2941.6667
tourism,5,0.0003,-88.0952,-27.5794
buildingroof,4,0.0002,300.0,2333.3333
