period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.8165,0.2206714,0.9863,0.9848,0.11110467048821993
pre,imm,highway,0.8219,0.0002463,0.9527,0.9247,1.6789581581737787e-05
pre,imm,source,0.4506,0.1665876,0.9699,0.9633,0.00048484669239535333
pre,imm,name,nan,nan,0,0,0
pre,imm,surface,0.8783,0.0062495,0.9846,0.9518,0.0009530853996853695
pre,imm,amenity,0.6299,0.1539651,0.8962,0.7627,0.1337055095389452
pre,imm,landuse,0.3149,0.3300187,0.6988,0.1172,0.7822045905792732
pre,imm,waterway,1.0,0.3333333,0.9982,0.9978,0.04180803909573397
pre,imm,natural,0.1818,0.5330357,0.1563,-0.281,0.5002375682891441
pre,imm,leisure,nan,nan,0.774,nan,nan
pre,imm,emergency,nan,nan,0,0,0
