period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.7182,0.0296231,0.99,0.9921,1.0513657497118673e-05
pre,post,highway,0.7818,0.0003334,0.9153,0.8614,0.000656273752408671
pre,post,source,0.3333,0.4694444,0.9941,0.998,5.970375024570047e-06
pre,post,name,nan,nan,0.9995,nan,nan
pre,post,surface,0.619,0.0690476,0.8547,0.6191,0.13818988308431765
pre,post,amenity,0.6667,0.3333333,0.9712,0.9197,0.08033474283643471
pre,post,landuse,-0.1765,0.5226281,0.2436,-0.3371,0.3749786677590512
pre,post,waterway,1.0,0.0833333,0.9975,0.9978,0.002247057707282618
pre,post,natural,0.3333,0.1525905,0.4833,0.0608,0.8510708316789664
pre,post,leisure,-0.3162,0.4484889,0.324,-0.5532,0.3334173584731552
pre,post,emergency,nan,nan,0,0,0
