period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,nan,nan,0,0,0
pre,post,highway,0.4728,0.1050638,0.3404,0.0469,0.9122586117792022
pre,post,source,nan,nan,0,0,0
pre,post,name,nan,nan,0,0,0
pre,post,surface,1.0,0.3333333,0.9428,0.9483,0.2056613317693966
pre,post,amenity,0.3333,1.0,0.9609,0.9535,0.19480142958564142
pre,post,landuse,nan,nan,0,0,0
pre,post,waterway,nan,nan,0,0,0
pre,post,natural,nan,nan,0,0,0
pre,post,leisure,nan,nan,0.9062,nan,nan
pre,post,emergency,nan,nan,0,0,0
