creates,edits,deletes,total
6365038.0,1129111.0,499176.0,7993325.0
28678680.0,6595292.0,1982314.0,37256286.0
8945003.0,2817732.0,1410854.0,13173589.0
43988721.0,10542135.0,3892344.0,58423200.0
