creates,edits,deletes,total
12086510.0,2749157.0,1273353.0,16109020.0
28678680.0,6595292.0,1982314.0,37256286.0
8945003.0,2817732.0,1410854.0,13173589.0
49710193.0,12162181.0,4666521.0,66538895.0
