disaster_id,disaster_label,pre,imm,post,total
3,Haiti (2010),3684,1047263,156212,1207159
8,Texas (2017),499242,1314152,1159910,2973304
7,California (2020),55326,12432,97351,165109
5,Haiti (2021),206992,1101494,47178,1355664
6,Nepal (2015),1116742,14485900,1071542,16674184
9,Sulawesi (2018),2210547,1000022,443217,3653786
14,Atami (2021),714,8980,4116,13810
13,Pakistan (2022),936232,758706,647163,2342101
10,Attica (2018),4591,5642,49850,60083
11,Izmir (2020),302147,1572247,1242850,3117244
12,Gaziantep (2023),220581,8493227,1414791,10128599
2,EmiliaRomagna (2023),206816,142688,458645,808149
18,Freetown (2017),5432,23574,29137,58143
15,Derna (2023),76,102268,18146,120490
16,Malawi (2023),682785,1920144,2522595,5125524
17,Morocco (2023),22093,2429962,892312,3344367
—,Total,6474000,34418701,10255015,51147716
