period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,1.0,0.0833333,0.9973,0.9989,0.001125627154460851
pre,imm,highway,0.6065,0.0040689,0.5728,0.4126,0.16118786813219652
pre,imm,source,0.6088,0.026061,0.783,0.6753,0.04592218455997974
pre,imm,name,nan,nan,0,0,0
pre,imm,surface,0.5,0.0751764,0.5178,0.3391,0.3719826695672876
pre,imm,amenity,0.4728,0.1050638,0.6892,0.1576,0.7093499570903907
pre,imm,landuse,0.6288,0.0203948,0.7024,0.5687,0.11007362762809815
pre,imm,waterway,1.0,0.3333333,0.9925,0.9857,0.1077726195120267
pre,imm,natural,0.3273,0.2618277,0.4939,0.2719,0.5147233812483969
pre,imm,leisure,-0.3162,0.4484889,0.2304,-0.3527,0.5604184343520666
pre,imm,emergency,nan,nan,0,0,0
