start_date,end_date,creates,edits,deletes,total
2014-04-25 00:00:00,2014-05-02 00:00:00,14929,2471,1655,19055
2014-05-02 00:00:00,2014-05-09 00:00:00,7087,2113,2684,11884
2014-05-09 00:00:00,2014-05-16 00:00:00,9268,1148,477,10893
2014-05-16 00:00:00,2014-05-23 00:00:00,15458,3326,892,19676
2014-05-23 00:00:00,2014-05-30 00:00:00,7700,1103,776,9579
2014-05-30 00:00:00,2014-06-06 00:00:00,6170,1126,872,8168
2014-06-06 00:00:00,2014-06-13 00:00:00,20194,2161,1385,23740
2014-06-13 00:00:00,2014-06-20 00:00:00,7595,1832,933,10360
2014-06-20 00:00:00,2014-06-27 00:00:00,10106,1122,1335,12563
2014-06-27 00:00:00,2014-07-04 00:00:00,6833,881,1002,8716
2014-07-04 00:00:00,2014-07-11 00:00:00,11316,1845,497,13658
2014-07-11 00:00:00,2014-07-18 00:00:00,7405,694,795,8894
2014-07-18 00:00:00,2014-07-25 00:00:00,6833,1143,199,8175
2014-07-25 00:00:00,2014-08-01 00:00:00,8357,447,403,9207
2014-08-01 00:00:00,2014-08-08 00:00:00,9991,1308,680,11979
2014-08-08 00:00:00,2014-08-15 00:00:00,14515,1046,334,15895
2014-08-15 00:00:00,2014-08-22 00:00:00,24337,4036,441,28814
2014-08-22 00:00:00,2014-08-29 00:00:00,31227,2443,337,34007
2014-08-29 00:00:00,2014-09-05 00:00:00,28684,2719,335,31738
2014-09-05 00:00:00,2014-09-12 00:00:00,58861,6342,457,65660
2014-09-12 00:00:00,2014-09-19 00:00:00,43994,4759,934,49687
2014-09-19 00:00:00,2014-09-26 00:00:00,48687,2193,266,51146
2014-09-26 00:00:00,2014-10-03 00:00:00,17957,1517,1138,20612
2014-10-03 00:00:00,2014-10-10 00:00:00,39821,1734,974,42529
2014-10-10 00:00:00,2014-10-17 00:00:00,14783,1283,615,16681
2014-10-17 00:00:00,2014-10-24 00:00:00,8043,1484,279,9806
2014-10-24 00:00:00,2014-10-31 00:00:00,44098,2324,752,47174
2014-10-31 00:00:00,2014-11-07 00:00:00,7297,1400,509,9206
2014-11-07 00:00:00,2014-11-14 00:00:00,17925,8207,980,27112
2014-11-14 00:00:00,2014-11-21 00:00:00,7024,1476,3672,12172
2014-11-21 00:00:00,2014-11-28 00:00:00,52379,2480,5429,60288
2014-11-28 00:00:00,2014-12-05 00:00:00,27684,3372,3305,34361
2014-12-05 00:00:00,2014-12-12 00:00:00,7976,867,830,9673
2014-12-12 00:00:00,2014-12-19 00:00:00,15663,1181,1491,18335
2014-12-19 00:00:00,2014-12-26 00:00:00,12817,700,1362,14879
2014-12-26 00:00:00,2015-01-02 00:00:00,29584,911,1900,32395
2015-01-02 00:00:00,2015-01-09 00:00:00,10921,317,655,11893
2015-01-09 00:00:00,2015-01-16 00:00:00,4736,771,921,6428
2015-01-16 00:00:00,2015-01-23 00:00:00,10942,483,1371,12796
2015-01-23 00:00:00,2015-01-30 00:00:00,6805,1365,360,8530
2015-01-30 00:00:00,2015-02-06 00:00:00,8193,989,259,9441
2015-02-06 00:00:00,2015-02-13 00:00:00,38406,4960,2533,45899
2015-02-13 00:00:00,2015-02-20 00:00:00,242869,10643,5244,258756
2015-02-20 00:00:00,2015-02-27 00:00:00,191185,11877,5272,208334
2015-02-27 00:00:00,2015-03-06 00:00:00,256247,14237,8210,278694
2015-03-06 00:00:00,2015-03-13 00:00:00,83397,6899,3801,94097
2015-03-13 00:00:00,2015-03-20 00:00:00,126791,3708,2685,133184
2015-03-20 00:00:00,2015-03-27 00:00:00,215367,8682,8581,232630
2015-03-27 00:00:00,2015-04-03 00:00:00,188358,14003,10666,213027
2015-04-03 00:00:00,2015-04-10 00:00:00,151955,6940,4615,163510
2015-04-10 00:00:00,2015-04-17 00:00:00,83273,4007,2404,89684
2015-04-17 00:00:00,2015-04-24 00:00:00,66285,8005,4415,78705
2015-04-24 00:00:00,2015-05-01 00:00:00,4879426,403907,164945,5448278
2015-05-01 00:00:00,2015-05-08 00:00:00,3567013,828366,358992,4754371
2015-05-08 00:00:00,2015-05-15 00:00:00,1850653,950340,148518,2949511
