start_date,end_date,creates,edits,deletes,total
2015-10-10 00:00:00,2015-10-17 00:00:00,7970,1626,1120,10716
2015-10-17 00:00:00,2015-10-24 00:00:00,21217,3328,1356,25901
2015-10-24 00:00:00,2015-10-31 00:00:00,33013,19136,6969,59118
2015-10-31 00:00:00,2015-11-07 00:00:00,23952,14706,6304,44962
2015-11-07 00:00:00,2015-11-14 00:00:00,27621,13422,8063,49106
2015-11-14 00:00:00,2015-11-21 00:00:00,104920,26306,19419,150645
2015-11-21 00:00:00,2015-11-28 00:00:00,36234,13759,10707,60700
2015-11-28 00:00:00,2015-12-05 00:00:00,5991,3252,1335,10578
2015-12-05 00:00:00,2015-12-12 00:00:00,9446,7121,4038,20605
2015-12-12 00:00:00,2015-12-19 00:00:00,16616,5770,1188,23574
2015-12-19 00:00:00,2015-12-26 00:00:00,24681,6739,2396,33816
2015-12-26 00:00:00,2016-01-02 00:00:00,27436,4098,2175,33709
2016-01-02 00:00:00,2016-01-09 00:00:00,20942,16358,2585,39885
2016-01-09 00:00:00,2016-01-16 00:00:00,21015,37221,1949,60185
2016-01-16 00:00:00,2016-01-23 00:00:00,60079,27840,3697,91616
2016-01-23 00:00:00,2016-01-30 00:00:00,7579,4010,1004,12593
2016-01-30 00:00:00,2016-02-06 00:00:00,16427,1709,600,18736
2016-02-06 00:00:00,2016-02-13 00:00:00,7909,8352,2852,19113
2016-02-13 00:00:00,2016-02-20 00:00:00,16727,948,1370,19045
2016-02-20 00:00:00,2016-02-27 00:00:00,2072,859,940,3871
2016-02-27 00:00:00,2016-03-05 00:00:00,1584,1785,698,4067
2016-03-05 00:00:00,2016-03-12 00:00:00,19646,8823,3813,32282
2016-03-12 00:00:00,2016-03-19 00:00:00,6024,830,777,7631
2016-03-19 00:00:00,2016-03-26 00:00:00,4402,880,1391,6673
2016-03-26 00:00:00,2016-04-02 00:00:00,4977,1510,2438,8925
2016-04-02 00:00:00,2016-04-09 00:00:00,3125,1201,195,4521
2016-04-09 00:00:00,2016-04-16 00:00:00,874,2357,2637,5868
2016-04-16 00:00:00,2016-04-23 00:00:00,1029,3845,1633,6507
2016-04-23 00:00:00,2016-04-30 00:00:00,990,2785,291,4066
2016-04-30 00:00:00,2016-05-07 00:00:00,1562,4402,213,6177
2016-05-07 00:00:00,2016-05-14 00:00:00,2391,2497,88,4976
2016-05-14 00:00:00,2016-05-21 00:00:00,1150,2621,291,4062
2016-05-21 00:00:00,2016-05-28 00:00:00,8893,7316,853,17062
2016-05-28 00:00:00,2016-06-04 00:00:00,1809,2626,104,4539
2016-06-04 00:00:00,2016-06-11 00:00:00,1838,1142,602,3582
2016-06-11 00:00:00,2016-06-18 00:00:00,253,48,9,310
2016-06-18 00:00:00,2016-06-25 00:00:00,1150,956,472,2578
2016-06-25 00:00:00,2016-07-02 00:00:00,866,728,200,1794
2016-07-02 00:00:00,2016-07-09 00:00:00,2740,1367,906,5013
2016-07-09 00:00:00,2016-07-16 00:00:00,1634,295,420,2349
2016-07-16 00:00:00,2016-07-23 00:00:00,2065,2006,100,4171
2016-07-23 00:00:00,2016-07-30 00:00:00,3951,4061,419,8431
2016-07-30 00:00:00,2016-08-06 00:00:00,10757,2936,142,13835
2016-08-06 00:00:00,2016-08-13 00:00:00,6161,795,94,7050
2016-08-13 00:00:00,2016-08-20 00:00:00,2358,652,10,3020
2016-08-20 00:00:00,2016-08-27 00:00:00,1706,3180,78,4964
2016-08-27 00:00:00,2016-09-03 00:00:00,3663,1565,206,5434
2016-09-03 00:00:00,2016-09-10 00:00:00,3952,1577,23,5552
2016-09-10 00:00:00,2016-09-17 00:00:00,398,132,56,586
2016-09-17 00:00:00,2016-09-24 00:00:00,20121,8579,845,29545
2016-09-24 00:00:00,2016-10-01 00:00:00,13559,4434,202,18195
2016-10-01 00:00:00,2016-10-08 00:00:00,1346700,166337,51615,1564652
2016-10-08 00:00:00,2016-10-15 00:00:00,1202229,186593,56021,1444843
2016-10-15 00:00:00,2016-10-22 00:00:00,206449,66415,20735,293599
2016-10-22 00:00:00,2016-10-29 00:00:00,126980,76183,23334,226497
2016-10-29 00:00:00,2016-11-05 00:00:00,24855,12041,2340,39236
2016-11-05 00:00:00,2016-11-12 00:00:00,44350,13719,2885,60954
