start_date,end_date,creates,edits,deletes,total
2014-04-25 00:00:00,2014-04-26 00:00:00,664,99,43,806
2014-04-26 00:00:00,2014-04-27 00:00:00,11,4,1,16
2014-04-27 00:00:00,2014-04-28 00:00:00,1395,328,794,2517
2014-04-28 00:00:00,2014-04-29 00:00:00,10255,156,353,10764
2014-04-29 00:00:00,2014-04-30 00:00:00,1627,215,43,1885
2014-04-30 00:00:00,2014-05-01 00:00:00,554,62,5,621
2014-05-01 00:00:00,2014-05-02 00:00:00,423,1607,416,2446
2014-05-02 00:00:00,2014-05-03 00:00:00,636,969,358,1963
2014-05-03 00:00:00,2014-05-04 00:00:00,31,7,19,57
2014-05-04 00:00:00,2014-05-05 00:00:00,643,401,434,1478
2014-05-05 00:00:00,2014-05-06 00:00:00,4576,203,612,5391
2014-05-06 00:00:00,2014-05-07 00:00:00,1027,348,228,1603
2014-05-07 00:00:00,2014-05-08 00:00:00,122,17,983,1122
2014-05-08 00:00:00,2014-05-09 00:00:00,52,168,50,270
2014-05-09 00:00:00,2014-05-10 00:00:00,685,19,8,712
2014-05-10 00:00:00,2014-05-11 00:00:00,6,1,0,7
2014-05-11 00:00:00,2014-05-12 00:00:00,31,21,39,91
2014-05-12 00:00:00,2014-05-13 00:00:00,8196,606,334,9136
2014-05-13 00:00:00,2014-05-14 00:00:00,65,115,19,199
2014-05-14 00:00:00,2014-05-15 00:00:00,165,354,77,596
2014-05-15 00:00:00,2014-05-16 00:00:00,120,32,0,152
2014-05-16 00:00:00,2014-05-17 00:00:00,10,0,0,10
2014-05-17 00:00:00,2014-05-18 00:00:00,9499,1205,274,10978
2014-05-18 00:00:00,2014-05-19 00:00:00,867,345,194,1406
2014-05-19 00:00:00,2014-05-20 00:00:00,1949,278,88,2315
2014-05-20 00:00:00,2014-05-21 00:00:00,2797,558,37,3392
2014-05-21 00:00:00,2014-05-22 00:00:00,256,472,68,796
2014-05-22 00:00:00,2014-05-23 00:00:00,80,468,231,779
2014-05-23 00:00:00,2014-05-24 00:00:00,704,111,17,832
2014-05-24 00:00:00,2014-05-25 00:00:00,555,10,0,565
2014-05-25 00:00:00,2014-05-26 00:00:00,126,41,8,175
2014-05-26 00:00:00,2014-05-27 00:00:00,589,48,49,686
2014-05-27 00:00:00,2014-05-28 00:00:00,2144,259,103,2506
2014-05-28 00:00:00,2014-05-29 00:00:00,3086,613,597,4296
2014-05-29 00:00:00,2014-05-30 00:00:00,496,21,2,519
2014-05-30 00:00:00,2014-05-31 00:00:00,574,180,30,784
2014-05-31 00:00:00,2014-06-01 00:00:00,145,6,1,152
2014-06-01 00:00:00,2014-06-02 00:00:00,17,5,0,22
2014-06-02 00:00:00,2014-06-03 00:00:00,238,115,27,380
2014-06-03 00:00:00,2014-06-04 00:00:00,3047,193,129,3369
2014-06-04 00:00:00,2014-06-05 00:00:00,11,15,2,28
2014-06-05 00:00:00,2014-06-06 00:00:00,2138,612,683,3433
2014-06-06 00:00:00,2014-06-07 00:00:00,3488,190,45,3723
2014-06-07 00:00:00,2014-06-08 00:00:00,4847,389,6,5242
2014-06-08 00:00:00,2014-06-09 00:00:00,8962,194,21,9177
2014-06-09 00:00:00,2014-06-10 00:00:00,1707,213,34,1954
2014-06-10 00:00:00,2014-06-11 00:00:00,983,20,20,1023
2014-06-11 00:00:00,2014-06-12 00:00:00,105,1090,1254,2449
2014-06-12 00:00:00,2014-06-13 00:00:00,102,65,5,172
2014-06-13 00:00:00,2014-06-14 00:00:00,868,166,58,1092
2014-06-14 00:00:00,2014-06-15 00:00:00,48,261,146,455
2014-06-15 00:00:00,2014-06-16 00:00:00,1282,112,306,1700
2014-06-16 00:00:00,2014-06-17 00:00:00,727,52,0,779
2014-06-17 00:00:00,2014-06-18 00:00:00,290,587,249,1126
2014-06-18 00:00:00,2014-06-19 00:00:00,1496,106,32,1634
2014-06-19 00:00:00,2014-06-20 00:00:00,2884,548,142,3574
2014-06-20 00:00:00,2014-06-21 00:00:00,2118,338,85,2541
2014-06-21 00:00:00,2014-06-22 00:00:00,160,115,3,278
2014-06-22 00:00:00,2014-06-23 00:00:00,1295,159,122,1576
2014-06-23 00:00:00,2014-06-24 00:00:00,2507,267,722,3496
