start_date,end_date,creates,edits,deletes,total
2022-05-02 00:00:00,2022-05-09 00:00:00,5602,9184,1228,16014
2022-05-09 00:00:00,2022-05-16 00:00:00,4383,3838,877,9098
2022-05-16 00:00:00,2022-05-23 00:00:00,2896,3422,870,7188
2022-05-23 00:00:00,2022-05-30 00:00:00,5041,6811,1694,13546
2022-05-30 00:00:00,2022-06-06 00:00:00,5040,6256,955,12251
2022-06-06 00:00:00,2022-06-13 00:00:00,5996,5273,212,11481
2022-06-13 00:00:00,2022-06-20 00:00:00,5423,3941,695,10059
2022-06-20 00:00:00,2022-06-27 00:00:00,2481,2099,150,4730
2022-06-27 00:00:00,2022-07-04 00:00:00,2347,2096,391,4834
2022-07-04 00:00:00,2022-07-11 00:00:00,4266,2288,640,7194
2022-07-11 00:00:00,2022-07-18 00:00:00,5974,3408,1005,10387
2022-07-18 00:00:00,2022-07-25 00:00:00,3268,2025,386,5679
2022-07-25 00:00:00,2022-08-01 00:00:00,4223,2844,650,7717
2022-08-01 00:00:00,2022-08-08 00:00:00,5263,2741,742,8746
2022-08-08 00:00:00,2022-08-15 00:00:00,4267,2410,637,7314
2022-08-15 00:00:00,2022-08-22 00:00:00,4502,4052,638,9192
2022-08-22 00:00:00,2022-08-29 00:00:00,5330,4165,604,10099
2022-08-29 00:00:00,2022-09-05 00:00:00,4418,5352,746,10516
2022-09-05 00:00:00,2022-09-12 00:00:00,4420,4389,456,9265
2022-09-12 00:00:00,2022-09-19 00:00:00,6673,5058,726,12457
2022-09-19 00:00:00,2022-09-26 00:00:00,5059,10846,782,16687
2022-09-26 00:00:00,2022-10-03 00:00:00,6575,4976,1105,12656
2022-10-03 00:00:00,2022-10-10 00:00:00,5950,9535,1207,16692
2022-10-10 00:00:00,2022-10-17 00:00:00,6042,8609,937,15588
2022-10-17 00:00:00,2022-10-24 00:00:00,14457,10790,2456,27703
2022-10-24 00:00:00,2022-10-31 00:00:00,7315,4877,1293,13485
2022-10-31 00:00:00,2022-11-07 00:00:00,7244,9112,1352,17708
2022-11-07 00:00:00,2022-11-14 00:00:00,11085,7113,869,19067
2022-11-14 00:00:00,2022-11-21 00:00:00,9195,9111,1332,19638
2022-11-21 00:00:00,2022-11-28 00:00:00,5951,7009,1031,13991
2022-11-28 00:00:00,2022-12-05 00:00:00,7233,9884,1226,18343
2022-12-05 00:00:00,2022-12-12 00:00:00,5170,5054,1190,11414
2022-12-12 00:00:00,2022-12-19 00:00:00,6190,6001,1554,13745
2022-12-19 00:00:00,2022-12-26 00:00:00,8515,6044,2272,16831
2022-12-26 00:00:00,2023-01-02 00:00:00,11673,8944,1807,22424
2023-01-02 00:00:00,2023-01-09 00:00:00,5800,6706,2108,14614
2023-01-09 00:00:00,2023-01-16 00:00:00,6770,7007,1766,15543
2023-01-16 00:00:00,2023-01-23 00:00:00,14883,6441,3275,24599
2023-01-23 00:00:00,2023-01-30 00:00:00,6076,7215,1475,14766
2023-01-30 00:00:00,2023-02-06 00:00:00,4077,4521,1082,9680
2023-02-06 00:00:00,2023-02-13 00:00:00,11709,4038,4258,20005
2023-02-13 00:00:00,2023-02-20 00:00:00,12694,9072,1974,23740
2023-02-20 00:00:00,2023-02-27 00:00:00,10579,8246,1938,20763
2023-02-27 00:00:00,2023-03-06 00:00:00,4361,4694,1152,10207
2023-03-06 00:00:00,2023-03-13 00:00:00,4084,4134,1127,9345
2023-03-13 00:00:00,2023-03-20 00:00:00,7228,3993,743,11964
2023-03-20 00:00:00,2023-03-27 00:00:00,9912,8534,1034,19480
2023-03-27 00:00:00,2023-04-03 00:00:00,9270,4938,781,14989
2023-04-03 00:00:00,2023-04-10 00:00:00,10685,7975,779,19439
2023-04-10 00:00:00,2023-04-17 00:00:00,7486,7952,2150,17588
2023-04-17 00:00:00,2023-04-24 00:00:00,10695,9112,2174,21981
2023-04-24 00:00:00,2023-05-01 00:00:00,27897,16521,3436,47854
2023-05-01 00:00:00,2023-05-08 00:00:00,19772,15050,4995,39817
2023-05-08 00:00:00,2023-05-15 00:00:00,18630,13905,4318,36853
2023-05-15 00:00:00,2023-05-22 00:00:00,42499,18948,7877,69324
2023-05-22 00:00:00,2023-05-29 00:00:00,18279,16050,5383,39712
2023-05-29 00:00:00,2023-06-05 00:00:00,14625,13518,5469,33612
2023-06-05 00:00:00,2023-06-12 00:00:00,10127,14434,4480,29041
