start_date,end_date,creates,edits,deletes,total
2015-10-10 00:00:00,2015-11-09 00:00:00,93513,41514,18499,153526
2015-11-09 00:00:00,2015-12-09 00:00:00,171843,56339,37198,265380
2015-12-09 00:00:00,2016-01-08 00:00:00,89994,34990,11559,136543
2016-01-08 00:00:00,2016-02-07 00:00:00,110175,73887,7711,191773
2016-02-07 00:00:00,2016-03-08 00:00:00,31925,15104,6385,53414
2016-03-08 00:00:00,2016-04-07 00:00:00,34044,9402,8008,51454
2016-04-07 00:00:00,2016-05-07 00:00:00,4566,13742,4793,23101
2016-05-07 00:00:00,2016-06-06 00:00:00,14247,15063,1336,30646
2016-06-06 00:00:00,2016-07-06 00:00:00,4208,3076,1285,8569
2016-07-06 00:00:00,2016-08-05 00:00:00,20504,9945,1968,32417
2016-08-05 00:00:00,2016-09-04 00:00:00,14431,6718,406,21555
2016-09-04 00:00:00,2016-10-04 00:00:00,248346,26854,2933,278133
2016-10-04 00:00:00,2016-11-03 00:00:00,2690408,493478,152024,3335910
2016-11-03 00:00:00,2016-12-03 00:00:00,163382,59533,13907,236822
2016-12-03 00:00:00,2017-01-02 00:00:00,189353,50487,18469,258309
2017-01-02 00:00:00,2017-02-01 00:00:00,36744,28065,3726,68535
2017-02-01 00:00:00,2017-03-03 00:00:00,41852,21715,5828,69395
2017-03-03 00:00:00,2017-04-02 00:00:00,13316,8107,1865,23288
2017-04-02 00:00:00,2017-05-02 00:00:00,30377,5499,1547,37423
2017-05-02 00:00:00,2017-06-01 00:00:00,5601,8768,917,15286
2017-06-01 00:00:00,2017-07-01 00:00:00,3127,1941,581,5649
2017-07-01 00:00:00,2017-07-31 00:00:00,22357,5578,1024,28959
2017-07-31 00:00:00,2017-08-30 00:00:00,61683,7256,1040,69979
2017-08-30 00:00:00,2017-09-29 00:00:00,11672,2258,5406,19336
2017-09-29 00:00:00,2017-10-29 00:00:00,23662,5028,2143,30833
2015-10-10 00:00:00,2017-10-29 00:00:00,4131330,1004347,310558,5446235
