start_date,end_date,creates,edits,deletes,total
2015-10-10 00:00:00,2015-10-11 00:00:00,424,471,116,1011
2015-10-11 00:00:00,2015-10-12 00:00:00,671,359,85,1115
2015-10-12 00:00:00,2015-10-13 00:00:00,771,250,91,1112
2015-10-13 00:00:00,2015-10-14 00:00:00,385,12,0,397
2015-10-14 00:00:00,2015-10-15 00:00:00,1369,129,30,1528
2015-10-15 00:00:00,2015-10-16 00:00:00,1076,237,659,1972
2015-10-16 00:00:00,2015-10-17 00:00:00,3274,168,139,3581
2015-10-17 00:00:00,2015-10-18 00:00:00,4267,219,39,4525
2015-10-18 00:00:00,2015-10-19 00:00:00,1019,194,223,1436
2015-10-19 00:00:00,2015-10-20 00:00:00,682,182,272,1136
2015-10-20 00:00:00,2015-10-21 00:00:00,837,708,148,1693
2015-10-21 00:00:00,2015-10-22 00:00:00,2024,532,57,2613
2015-10-22 00:00:00,2015-10-23 00:00:00,9337,691,296,10324
2015-10-23 00:00:00,2015-10-24 00:00:00,3051,802,321,4174
2015-10-24 00:00:00,2015-10-25 00:00:00,17,7,0,24
2015-10-25 00:00:00,2015-10-26 00:00:00,226,14,4,244
2015-10-26 00:00:00,2015-10-27 00:00:00,2830,587,345,3762
2015-10-27 00:00:00,2015-10-28 00:00:00,8818,4265,2327,15410
2015-10-28 00:00:00,2015-10-29 00:00:00,3560,5495,539,9594
2015-10-29 00:00:00,2015-10-30 00:00:00,6226,6790,2175,15191
2015-10-30 00:00:00,2015-10-31 00:00:00,11336,1978,1579,14893
2015-10-31 00:00:00,2015-11-01 00:00:00,362,10,0,372
2015-11-01 00:00:00,2015-11-02 00:00:00,1415,3319,83,4817
2015-11-02 00:00:00,2015-11-03 00:00:00,85,3,39,127
2015-11-03 00:00:00,2015-11-04 00:00:00,7643,5551,3900,17094
2015-11-04 00:00:00,2015-11-05 00:00:00,7823,3299,1432,12554
2015-11-05 00:00:00,2015-11-06 00:00:00,2550,801,228,3579
2015-11-06 00:00:00,2015-11-07 00:00:00,4074,1723,622,6419
2015-11-07 00:00:00,2015-11-08 00:00:00,2960,853,1429,5242
2015-11-08 00:00:00,2015-11-09 00:00:00,4401,1865,1321,7587
2015-11-09 00:00:00,2015-11-10 00:00:00,2163,1128,1241,4532
2015-11-10 00:00:00,2015-11-11 00:00:00,8327,3246,2451,14024
2015-11-11 00:00:00,2015-11-12 00:00:00,5693,5134,1047,11874
2015-11-12 00:00:00,2015-11-13 00:00:00,1675,359,164,2198
2015-11-13 00:00:00,2015-11-14 00:00:00,2402,837,410,3649
2015-11-14 00:00:00,2015-11-15 00:00:00,9,2,0,11
2015-11-15 00:00:00,2015-11-16 00:00:00,2035,695,533,3263
2015-11-16 00:00:00,2015-11-17 00:00:00,10915,2081,1531,14527
2015-11-17 00:00:00,2015-11-18 00:00:00,8398,3409,2813,14620
2015-11-18 00:00:00,2015-11-19 00:00:00,23154,4470,2339,29963
2015-11-19 00:00:00,2015-11-20 00:00:00,27572,3805,3001,34378
2015-11-20 00:00:00,2015-11-21 00:00:00,32837,11844,9202,53883
2015-11-21 00:00:00,2015-11-22 00:00:00,28490,8078,9249,45817
2015-11-22 00:00:00,2015-11-23 00:00:00,1287,1434,466,3187
2015-11-23 00:00:00,2015-11-24 00:00:00,954,546,170,1670
2015-11-24 00:00:00,2015-11-25 00:00:00,953,501,344,1798
2015-11-25 00:00:00,2015-11-26 00:00:00,1579,721,91,2391
2015-11-26 00:00:00,2015-11-27 00:00:00,194,169,74,437
2015-11-27 00:00:00,2015-11-28 00:00:00,2777,2310,313,5400
2015-11-28 00:00:00,2015-11-29 00:00:00,788,586,137,1511
2015-11-29 00:00:00,2015-11-30 00:00:00,366,211,47,624
2015-11-30 00:00:00,2015-12-01 00:00:00,387,303,50,740
2015-12-01 00:00:00,2015-12-02 00:00:00,919,155,326,1400
2015-12-02 00:00:00,2015-12-03 00:00:00,441,195,26,662
2015-12-03 00:00:00,2015-12-04 00:00:00,1420,706,303,2429
2015-12-04 00:00:00,2015-12-05 00:00:00,1670,1096,446,3212
2015-12-05 00:00:00,2015-12-06 00:00:00,1,16,56,73
2015-12-06 00:00:00,2015-12-07 00:00:00,10,8,0,18
2015-12-07 00:00:00,2015-12-08 00:00:00,2601,1509,257,4367
2015-12-08 00:00:00,2015-12-09 00:00:00,1826,785,111,2722
2015-12-09 00:00:00,2015-12-10 00:00:00,1800,1238,308,3346
2015-12-10 00:00:00,2015-12-11 00:00:00,1811,1324,493,3628
2015-12-11 00:00:00,2015-12-12 00:00:00,1397,2241,2813,6451
2015-12-12 00:00:00,2015-12-13 00:00:00,432,196,98,726
2015-12-13 00:00:00,2015-12-14 00:00:00,1734,544,397,2675
2015-12-14 00:00:00,2015-12-15 00:00:00,490,219,42,751
2015-12-15 00:00:00,2015-12-16 00:00:00,1593,1892,286,3771
2015-12-16 00:00:00,2015-12-17 00:00:00,1016,1097,132,2245
2015-12-17 00:00:00,2015-12-18 00:00:00,5580,1352,190,7122
2015-12-18 00:00:00,2015-12-19 00:00:00,5771,470,43,6284
2015-12-19 00:00:00,2015-12-20 00:00:00,59,617,27,703
2015-12-20 00:00:00,2015-12-21 00:00:00,264,134,23,421
2015-12-21 00:00:00,2015-12-22 00:00:00,7549,985,138,8672
2015-12-22 00:00:00,2015-12-23 00:00:00,7856,1499,656,10011
2015-12-23 00:00:00,2015-12-24 00:00:00,6542,2121,984,9647
2015-12-24 00:00:00,2015-12-25 00:00:00,2264,1383,568,4215
2015-12-25 00:00:00,2015-12-26 00:00:00,147,0,0,147
2015-12-26 00:00:00,2015-12-27 00:00:00,2576,98,10,2684
2015-12-27 00:00:00,2015-12-28 00:00:00,1711,309,89,2109
2015-12-28 00:00:00,2015-12-29 00:00:00,7569,1225,352,9146
2015-12-29 00:00:00,2015-12-30 00:00:00,3798,849,106,4753
2015-12-30 00:00:00,2015-12-31 00:00:00,6970,1003,264,8237
2015-12-31 00:00:00,2016-01-01 00:00:00,4189,602,1354,6145
2016-01-01 00:00:00,2016-01-02 00:00:00,623,12,0,635
2016-01-02 00:00:00,2016-01-03 00:00:00,15,45,265,325
2016-01-03 00:00:00,2016-01-04 00:00:00,140,55,4,199
2016-01-04 00:00:00,2016-01-05 00:00:00,7914,4440,1110,13464
2016-01-05 00:00:00,2016-01-06 00:00:00,1183,1477,295,2955
2016-01-06 00:00:00,2016-01-07 00:00:00,4030,4815,382,9227
2016-01-07 00:00:00,2016-01-08 00:00:00,2971,2748,130,5849
2016-01-08 00:00:00,2016-01-09 00:00:00,4689,2778,399,7866
2016-01-09 00:00:00,2016-01-10 00:00:00,38,14,3,55
2016-01-10 00:00:00,2016-01-11 00:00:00,4,1,0,5
2016-01-11 00:00:00,2016-01-12 00:00:00,5655,4282,701,10638
2016-01-12 00:00:00,2016-01-13 00:00:00,3886,5540,598,10024
2016-01-13 00:00:00,2016-01-14 00:00:00,2178,8587,329,11094
2016-01-14 00:00:00,2016-01-15 00:00:00,2180,10723,137,13040
2016-01-15 00:00:00,2016-01-16 00:00:00,7074,8074,181,15329
