period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.9444,4.96e-05,0.9996,0.9995,9.408940104389316e-12
pre,post,0.8889,0.0002425,0.9979,0.9987,2.875284215350173e-10
imm,post,0.8333,0.0008543,0.9971,0.9983,7.261232512735778e-10
