period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.3949,0.0648382,0.9997,0.9998,1.1307073077455075e-19
pre,imm,highway,0.7576,0.00024,0.7846,0.6522,0.02152496992271287
pre,imm,source,0.0476,1.0,0.7699,0.4482,0.31321677496820977
pre,imm,name,1.0,1.0,0.9761,1.0,1.0
pre,imm,surface,0.7179,0.000284,0.5297,0.3901,0.18758068276720474
pre,imm,amenity,0.7043,0.0087746,0.8605,0.7019,0.035048139269400536
pre,imm,landuse,0.9701,0.000541,0.9656,0.9659,2.327054401617996e-05
pre,imm,waterway,0.8667,0.0166667,0.9804,0.9836,0.0004003903931337021
pre,imm,natural,0.4944,0.0481935,0.6073,0.3858,0.2708833415626639
pre,imm,leisure,1.0,0.3333333,0.981,0.9862,0.10572597998173912
pre,imm,emergency,nan,nan,0,0,0
