period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.3571,0.2750992,0.9949,0.9944,4.278334793949725e-07
pre,post,highway,0.7273,0.0004989,0.8833,0.8407,0.0006142885483391652
pre,post,source,0.6889,0.0046869,0.8641,0.7158,0.01991820883086321
pre,post,name,-0.6667,0.3333333,0.6915,-0.6102,0.3898002332916406
pre,post,surface,0.8129,0.0001178,0.7423,0.5944,0.03217211834335188
pre,post,amenity,0.4573,0.0916903,0.7988,0.5932,0.09223591755007951
pre,post,landuse,0.4801,0.0516674,0.9948,0.9938,6.797842936195223e-10
pre,post,waterway,0.8,0.0833333,0.994,0.9926,0.0007685101056468918
pre,post,natural,0.6606,0.0049368,0.6743,0.4584,0.15619050655883454
pre,post,leisure,0.6667,0.0498835,0.8675,0.7561,0.049242385947853774
pre,post,emergency,nan,nan,0,0,0
