key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
building,209724,13.3391,821.054,5503.0786
highway,14014,0.8913,-35.4996,292.3774
name,6708,0.4267,-35.3196,293.4722
oneway,2408,0.1532,-46.9487,222.7289
source,2063,0.1312,-63.7307,120.6385
landuse,1273,0.081,117.2355,1221.5159
amenity,1221,0.0777,28.2563,680.2258
layer,1097,0.0698,94.5035,1083.2299
surface,764,0.0486,-27.1687,343.0569
leisure,754,0.048,-64.551,115.648
maxspeed,588,0.0374,-64.6209,115.2226
addr:street,439,0.0279,74.2063,959.7553
natural,439,0.0279,17.3797,614.0597
operator,431,0.0274,-26.5758,346.6638
railway,429,0.0273,-2.5,493.125
addr:housenumber,421,0.0268,128.8043,1291.8931
public_transport,389,0.0247,-42.7099,248.515
addr:city,379,0.0241,43.5606,773.327
addr:district,340,0.0216,71.7172,944.6128
addr:postcode,309,0.0197,58.4615,863.9744
barrier,308,0.0196,106.7114,1157.4944
man_made,290,0.0184,156.6372,1461.2094
addr:neighbourhood,284,0.0181,55.1913,844.0801
shop,257,0.0163,0.0,508.3333
bus,249,0.0158,-50.7905,199.3577
building:levels,245,0.0156,282.8125,2228.776
lanes,241,0.0153,-78.2294,32.4375
boundary,234,0.0149,-88.2941,-28.7894
admin_level,210,0.0134,-86.8339,-19.906
aeroway,204,0.013,191.4286,1672.8571
ref,204,0.013,-86.6579,-18.8358
electrified,192,0.0122,23.871,653.5484
gauge,188,0.012,24.5033,657.3951
power,187,0.0119,-55.2632,172.1491
bridge,179,0.0114,-49.7191,205.8755
access,178,0.0113,-32.5758,310.1641
tunnel,178,0.0113,21.0884,636.6213
religion,177,0.0113,-33.7079,303.2772
waterway,168,0.0107,27.2727,674.2424
service,160,0.0102,-0.6211,504.5549
foot,158,0.01,-41.6974,254.674
traffic_calming,155,0.0099,453.5714,3267.5595
voltage,143,0.0091,-19.6629,388.7172
height,138,0.0088,360.0,2698.3333
mapwithai:source,133,0.0085,13200.0,80808.3333
sport,133,0.0085,60.241,874.7992
area,105,0.0067,29.6296,688.5802
wheelchair,100,0.0064,21.9512,641.8699
phone,98,0.0062,38.0282,739.6714
crossing,97,0.0062,18.2927,619.6138
website,97,0.0062,11.4943,578.2567
construction,96,0.0061,200.0,1725.0
footway,92,0.0059,61.4035,881.8713
frequency,86,0.0055,-33.8462,302.4359
bicycle,83,0.0053,36.0656,727.7322
brand,83,0.0053,-44.6667,236.6111
brand:wikidata,80,0.0051,-35.4839,292.4731
traffic_signals,78,0.005,-6.0241,471.6867
wikidata,78,0.005,-53.012,185.8434
subway,76,0.0048,-24.0,362.3333
brand:wikipedia,73,0.0046,-40.1639,264.0027
denomination,73,0.0046,-62.7551,126.5731
motor_vehicle,72,0.0046,41.1765,758.8235
junction,67,0.0043,-57.0513,161.2714
healthcare,66,0.0042,69.2308,929.4872
opening_hours,65,0.0041,-25.2874,354.5019
usage,65,0.0041,10.1695,570.1977
name:en,62,0.0039,-55.0725,173.3092
office,60,0.0038,100.0,1116.6667
wikipedia,60,0.0038,-48.2759,214.6552
station,54,0.0034,100.0,1116.6667
tower:type,54,0.0034,575.0,4006.25
train,53,0.0034,23.2558,649.8062
traffic_signals:direction,52,0.0033,-11.8644,436.1582
residential,51,0.0032,325.0,2485.4167
name:tr,48,0.0031,-40.0,265.0
place,48,0.0031,-89.5652,-36.5217
description,46,0.0029,-23.3333,366.3889
stop_id,43,0.0027,26.4706,669.3627
horse,40,0.0025,-57.8947,156.1404
tourism,40,0.0025,-51.8072,193.1727
fee,39,0.0025,-36.0656,288.9344
noexit,39,0.0025,160.0,1481.6667
shelter,39,0.0025,-53.5714,182.4405
wikipedia:en,38,0.0024,123.5294,1259.8039
construction:railway,36,0.0023,1100.0,7200.0
buidling,35,0.0022,3400.0,21191.6667
water,35,0.0022,118.75,1230.7292
destination,32,0.002,-86.4407,-17.5141
entrance,31,0.002,82.3529,1009.3137
int_ref,30,0.0019,-95.1378,-70.4214
level,30,0.0019,-9.0909,453.0303
cuisine,29,0.0018,-25.641,352.3504
historic,29,0.0018,-55.3846,171.4103
note,29,0.0018,-27.5,341.0417
covered,25,0.0016,-70.5882,78.9216
parking,25,0.0016,-28.5714,334.5238
alt_name,23,0.0015,-90.873,-44.4775
boat,23,0.0015,9.5238,566.2698
grades,23,0.0015,2200.0,13891.6667
ele,21,0.0013,200.0,1725.0
email,21,0.0013,-30.0,325.8333
minspeed,21,0.0013,-95.0704,-70.0117
network,21,0.0013,-72.7273,65.9091
building:adjacency,20,0.0013,1900.0,12066.6667
building:structure,20,0.0013,1900.0,12066.6667
earthquake:damage,20,0.0013,1900.0,12066.6667
roof:levels,20,0.0013,1900.0,12066.6667
width,20,0.0013,-4.7619,479.3651
area:highway,19,0.0012,1800.0,11458.3333
building:irregularity,19,0.0012,1800.0,11458.3333
emergency,19,0.0012,137.5,1344.7917
material,19,0.0012,46.1538,789.1026
cycleway,18,0.0011,260.0,2090.0
internet_access,17,0.0011,-77.6316,36.0746
operator:type,17,0.0011,-59.5238,146.2302
building:levels:underground,16,0.001,433.3333,3144.4444
content,16,0.001,1500.0,9633.3333
length,16,0.001,166.6667,1522.2222
lit,16,0.001,-86.6667,-18.8889
tracktype,16,0.001,-38.4615,274.359
generator:method,15,0.001,-95.4128,-72.0948
generator:source,15,0.001,-95.4819,-72.5151
fixme,14,0.0009,-44.0,240.6667
intermittent,14,0.0009,40.0,751.6667
is_in,14,0.0009,-17.6471,400.9804
leaf_type,14,0.0009,-41.6667,254.8611
cutting,13,0.0008,62.5,888.5417
generator:type,13,0.0008,-94.5148,-66.6315
junction:ref,13,0.0008,1200.0,7808.3333
bench,12,0.0008,-73.913,58.6957
capacity,12,0.0008,200.0,1725.0
drive_through,12,0.0008,71.4286,942.8571
int_name,12,0.0008,-63.6364,121.2121
leaf_cycle,12,0.0008,-47.8261,217.3913
smoking,12,0.0008,-40.0,265.0
toilets:wheelchair,12,0.0008,140.0,1360.0
