period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.8333,0.0008543,0.7295,0.6854,0.041579653069056664
pre,post,0.7778,0.002425,0.7729,0.7251,0.027063931143027083
imm,post,0.7222,0.0058862,0.9977,0.9982,7.512296955553401e-10
