period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,1.0,0.3333333,1.0,1.0,0.0001024068685015569
pre,post,highway,0.6288,0.0689907,0.9158,0.8742,0.010067503827448006
pre,post,source,-1.0,1.0,0.8325,-1.0,1.0
pre,post,name,-1.0,1.0,0.6839,-1.0,1.0
pre,post,surface,nan,nan,0,0,0
pre,post,amenity,nan,nan,0.8944,nan,nan
pre,post,landuse,nan,nan,0,0,0
pre,post,waterway,nan,nan,0,0,0
pre,post,natural,nan,nan,0,0,0
pre,post,leisure,nan,nan,0,0,0
pre,post,emergency,nan,nan,0,0,0
