period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,nan,nan,0,0,0
pre,post,highway,0.5549,0.0085818,0.8795,0.785,0.0014775749174640897
pre,post,source,0.276,0.4442167,0.8239,0.7081,0.11536432884272071
pre,post,name,nan,nan,0,0,0
pre,post,surface,0.9258,0.0020609,0.9998,0.9999,7.716473954453116e-12
pre,post,amenity,0.0,1.0,0.8184,0.0353,0.9775061451951446
pre,post,landuse,0.2721,0.2352698,0.9,0.8444,0.0005500155475606093
pre,post,waterway,1.0,1.0,0.991,1.0,1.0
pre,post,natural,1.0,0.3333333,0.9644,0.8417,0.36311315497103025
pre,post,leisure,0.3333,1.0,0.8536,0.5734,0.61127732669803
pre,post,emergency,nan,nan,0,0,0
