period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,1.0,0.3333333,0.9981,0.9995,0.020303004093633795
pre,imm,highway,0.7355,0.000494,0.854,0.7485,0.0032432843901636886
pre,imm,source,-0.3273,0.2618277,0.4642,-0.2112,0.6156347273631577
pre,imm,name,nan,nan,0,0,0
pre,imm,surface,0.6673,0.014398,0.9994,0.9995,1.0781166599681377e-11
pre,imm,amenity,0.688,0.0390083,0.9151,0.9051,0.00506397772698714
pre,imm,landuse,0.4104,0.2139007,0.9752,0.9611,0.0005616443372545651
pre,imm,waterway,0.6299,0.1539651,0.6707,0.3932,0.5125599889407171
pre,imm,natural,0.5477,0.2785987,0.8555,0.649,0.35097659347154475
pre,imm,leisure,0.0,1.0,0.8048,0.4389,0.710702610749442
pre,imm,emergency,nan,nan,0,0,0
