period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,1.0,0.3333333,0.9852,0.9943,0.0678044844726541
pre,post,highway,0.5505,0.0191496,0.7044,0.56,0.0732169847482019
pre,post,source,0.3162,0.4484889,0.8398,0.6493,0.23577949938073736
pre,post,name,-0.3333,1.0,0.6901,0.0774,0.9506857251565601
pre,post,surface,0.9129,0.0709515,0.8844,0.9583,0.04172309475924263
pre,post,amenity,0.5893,0.1793641,0.6597,0.2414,0.6956852730740812
pre,post,landuse,0.3333,0.75,0.5561,0.2466,0.7533998166570732
pre,post,waterway,nan,nan,0,0,0
pre,post,natural,-0.2222,0.6027418,0.7136,0.0434,0.9447778906904312
pre,post,leisure,0.3333,1.0,0.3948,-0.3336,0.7834523358074069
pre,post,emergency,nan,nan,0,0,0
