period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.7355,0.000494,0.8388,0.8137,0.0007143293095303244
pre,post,highway,0.7949,3.19e-05,0.9713,0.958,2.636814931079128e-07
pre,post,source,0.3099,0.2488639,0.9977,0.9974,3.017298063147494e-09
pre,post,name,0.3333,0.4694444,0.9638,0.5231,0.28687953071516953
pre,post,surface,0.7097,0.0007745,0.9353,0.9079,1.793782985589066e-05
pre,post,amenity,0.5152,0.0209804,0.8888,0.8033,0.0016494113512720186
pre,post,landuse,0.3333,0.1525905,0.8119,0.7067,0.010180917472911258
pre,post,waterway,0.809,0.0012254,0.9019,0.8419,0.002247339085501288
pre,post,natural,0.5758,0.0087577,0.5617,0.4017,0.19555399747189348
pre,post,leisure,0.5636,0.0165405,0.9463,0.9313,3.101790217565605e-05
pre,post,emergency,-0.6667,0.3333333,0.1439,-0.5058,0.49418602813624846
