period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.2444,0.3807198,0.9902,0.9884,7.80099887060604e-08
pre,imm,highway,0.3187,0.1267871,0.938,0.9079,7.22928778500816e-06
pre,imm,source,0.6,0.2333333,0.9993,0.9998,2.6576113243645013e-06
pre,imm,name,1.0,1.0,0.9308,1.0,1.0
pre,imm,surface,0.5038,0.023315,0.3884,0.154,0.6326968365461036
pre,imm,amenity,0.6364,0.0031816,0.8923,0.8064,0.0015301423710856697
pre,imm,landuse,0.1212,0.6383613,0.2838,-0.0744,0.8181881829318892
pre,imm,waterway,0.9888,7.77e-05,0.9882,0.98,6.867014565456249e-07
pre,imm,natural,0.4045,0.1059975,0.8457,0.8039,0.005068998651551224
pre,imm,leisure,0.4935,0.0199674,0.4517,0.3043,0.31212190870125833
pre,imm,emergency,0.8165,0.2206714,0.88,0.866,0.33333333333333365
