key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
maxweight,188,0.0383,59.322,59.322
intermittent,183,0.0372,79.4118,79.4118
shoulder,182,0.037,-23.2068,-23.2068
construction:railway,181,0.0368,18000.0,18000.0
fixme,181,0.0368,7.1006,7.1006
fuel:diesel,179,0.0364,24.3056,24.3056
oneway:bus,175,0.0356,90.2174,90.2174
taxon:it,169,0.0344,16800.0,16800.0
taxon:wikidata,169,0.0344,16800.0,16800.0
gfoss_id,168,0.0342,663.6364,663.6364
fuel:octane_95,167,0.034,21.0145,21.0145
hgv,162,0.033,184.2105,184.2105
mtb:scale,162,0.033,14.0845,14.0845
ele,161,0.0328,42.4779,42.4779
maxweight:signed,160,0.0326,146.1538,146.1538
surveillance:type,160,0.0326,788.8889,788.8889
waste,160,0.0326,201.8868,201.8868
golf,159,0.0324,307.6923,307.6923
camera:type,157,0.0319,726.3158,726.3158
ref:vatin,155,0.0315,21.0938,21.0937
board_type,154,0.0313,755.5556,755.5556
delivery:covid19,148,0.0301,184.6154,184.6154
int_ref,144,0.0293,-68.7636,-68.7636
subject:wikidata,144,0.0293,620.0,620.0
one:maxspeed,141,0.0287,14000.0,14000.0
recycling:paper,141,0.0287,67.8571,67.8571
payment:debit_cards,139,0.0283,230.9524,230.9524
surveillance,139,0.0283,969.2308,969.2308
tower:type,139,0.0283,80.5195,80.5195
traffic_sign,139,0.0283,672.2222,672.2222
language:it,137,0.0279,13600.0,13600.0
obstacle,137,0.0279,42.7083,42.7083
stars,137,0.0279,65.0602,65.0602
internet_access:fee,136,0.0277,-30.9645,-30.9645
access:lanes:backward,135,0.0275,82.4324,82.4324
psv:lanes:backward,135,0.0275,95.6522,95.6522
step_count,132,0.0269,123.7288,123.7288
diet:vegetarian,131,0.0267,156.8627,156.8627
name:left,131,0.0267,138.1818,138.1818
camera:direction,130,0.0264,2066.6667,2066.6667
name:right,127,0.0258,130.9091,130.9091
fax,126,0.0256,36.9565,36.9565
boat,124,0.0252,61.039,61.039
recycling:plastic,124,0.0252,55.0,55.0
language:en,123,0.025,12200.0,12200.0
name:rgn,123,0.025,2360.0,2360.0
nat_name,123,0.025,28.125,28.125
contact:instagram,122,0.0248,121.8182,121.8182
cycleway:right:lane,121,0.0246,120.0,120.0
plant:source,120,0.0244,144.898,144.898
description:it,119,0.0242,197.5,197.5
location,119,0.0242,0.8475,0.8475
compressed_air,117,0.0238,588.2353,588.2353
plant:output:electricity,117,0.0238,185.3659,185.3659
motorroad:type,116,0.0236,11500.0,11500.0
motorcycle,115,0.0234,36.9048,36.9048
self_service,115,0.0234,47.4359,47.4359
lanes:psv:forward,114,0.0232,375.0,375.0
plant:method,114,0.0232,165.1163,165.1163
recycling:cans,114,0.0232,72.7273,72.7273
traffic_signals,114,0.0232,32.5581,32.5581
junction:ref,113,0.023,205.4054,205.4054
railway:preferred_direction,113,0.023,413.6364,413.6364
railway:radio,113,0.023,413.6364,413.6364
room,112,0.0228,489.4737,489.4737
destination:ref,110,0.0224,69.2308,69.2308
image,108,0.022,248.3871,248.3871
name:es,108,0.022,1442.8571,1442.8571
smoking,108,0.022,176.9231,176.9231
craft,107,0.0218,9.1837,9.1837
maxspeed:tilting,106,0.0216,-73.2323,-73.2323
recycling:glass_bottles,106,0.0216,-4.5045,-4.5045
source:ref,106,0.0216,140.9091,140.9091
trail_visibility,106,0.0216,120.8333,120.8333
wikimedia_commons,105,0.0214,22.093,22.093
