key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
highway,52355,17.2247,0.0,0.0
name,37381,12.2983,0.0,0.0
surface,23094,7.5979,0.0,0.0
oneway,12956,4.2625,0.0,0.0
source,10643,3.5015,0.0,0.0
ref,9416,3.0978,0.0,0.0
building,7714,2.5379,0.0,0.0
maxspeed,7339,2.4145,0.0,0.0
amenity,7118,2.3418,0.0,0.0
lit,6826,2.2457,0.0,0.0
crossing,6509,2.1414,0.0,0.0
bus,6400,2.1056,0.0,0.0
public_transport,6313,2.077,0.0,0.0
addr:street,6189,2.0362,0.0,0.0
addr:housenumber,5956,1.9595,0.0,0.0
lanes,5836,1.92,0.0,0.0
network,5735,1.8868,0.0,0.0
addr:city,5575,1.8342,0.0,0.0
natural,5267,1.7328,0.0,0.0
bicycle,5046,1.6601,0.0,0.0
footway,4417,1.4532,0.0,0.0
foot,3992,1.3134,0.0,0.0
operator,3778,1.243,0.0,0.0
network:wikidata,3649,1.2005,0.0,0.0
addr:postcode,3425,1.1268,0.0,0.0
service,3397,1.1176,0.0,0.0
name:etymology:wikidata,3369,1.1084,0.0,0.0
layer,3033,0.9979,0.0,0.0
tactile_paving,3018,0.9929,0.0,0.0
access,2674,0.8797,0.0,0.0
railway,2473,0.8136,0.0,0.0
smoothness,2385,0.7847,0.0,0.0
landuse,2279,0.7498,0.0,0.0
crossing_ref,2131,0.7011,0.0,0.0
network:wikipedia,2119,0.6971,0.0,0.0
sidewalk,2091,0.6879,0.0,0.0
gauge,1936,0.6369,0.0,0.0
shop,1751,0.5761,0.0,0.0
leaf_type,1750,0.5757,0.0,0.0
cycleway:right,1731,0.5695,0.0,0.0
phone,1631,0.5366,0.0,0.0
cycleway:both,1623,0.534,0.0,0.0
segregated,1572,0.5172,0.0,0.0
maxspeed:type,1557,0.5123,0.0,0.0
old_ref,1541,0.507,0.0,0.0
website,1477,0.4859,0.0,0.0
barrier,1459,0.48,0.0,0.0
junction,1439,0.4734,0.0,0.0
voltage,1413,0.4649,0.0,0.0
crossing:island,1404,0.4619,0.0,0.0
