period1,period2,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,0.5556,0.0446153,0.8678,0.7242,0.02735865254321196
pre,post,0.7778,0.002425,0.9553,0.92,0.0004411975450118101
imm,post,0.7778,0.002425,0.9546,0.8746,0.002028377166471588
