key,value,count,percent_of_total_changes_for_key
name,Via Battindarno,10,0.2273
name,Via Galliera,10,0.2273
name,Via Giacomo Matteotti,10,0.2273
name,Via Giovanni Battista Melloni,10,0.2273
name,Via Giuseppe Massarenti,10,0.2273
name,Via Gualtiero Ferrari,10,0.2273
name,Via Paolo Poggi,10,0.2273
name,Via Tolmino,10,0.2273
name,Via Valdossola,10,0.2273
name,Via delle Viole,10,0.2273
name,Viale Vicini,10,0.2273
name,Andrea Costa,9,0.2045
name,Porta Galliera,9,0.2045
name,Rio Magione,9,0.2045
name,San Paolo di Ravone,9,0.2045
name,Via Bisaura,9,0.2045
name,Via Eugenio Bertini,9,0.2045
name,Via Marecchiese,9,0.2045
name,Via Pasubio,9,0.2045
name,Via Santerno Ammonite,9,0.2045
name,Via delle Gardenie,9,0.2045
name,Viale 9 febbraio 1849,9,0.2045
name,Viale Carlo Pepoli,9,0.2045
name,Binario 3,8,0.1818
name,Binario 4,8,0.1818
name,Canale di Reno,8,0.1818
name,Casalecchio Bixio,8,0.1818
name,Galleria del Toro,8,0.1818
name,Piazza Trento e Trieste,8,0.1818
name,Porta Saragozza - Risorgimento,8,0.1818
name,Strada Provinciale 85,8,0.1818
name,Via Aurelio Saffi,8,0.1818
name,Via Bellinzona,8,0.1818
name,Via Cartiera,8,0.1818
name,Via Eugenio Curiel,8,0.1818
name,Via Galileo Galilei,8,0.1818
name,Via Giuseppe Mezzofanti,8,0.1818
name,Via Godo,8,0.1818
name,Via Musella,8,0.1818
name,Via Nicolò dall'Arca,8,0.1818
name,Via Olindo Guerrini,8,0.1818
name,Via Petrosa,8,0.1818
name,Via Ravegnana,8,0.1818
name,Via Santo Stefano,8,0.1818
name,Zona a traffico limitato (ztl) Bologna,8,0.1818
name,Cà de' Fiori,7,0.1591
name,Piazza Minghetti,7,0.1591
name,Rotonda delle ceramiche,7,0.1591
name,Scolo Calamosco,7,0.1591
name,Scolo Canaletta Cadriano,7,0.1591
name,Via Braccesca,7,0.1591
name,Via Circondario Ponente,7,0.1591
name,Via Circonvallazione Meridionale,7,0.1591
name,Via Ercole Nani,7,0.1591
name,Via Ernesto Masi,7,0.1591
name,Via Francesco Orioli,7,0.1591
name,Via Giovanni Paolo Martini,7,0.1591
name,Via Giuseppe Garibaldi,7,0.1591
name,Via Mario Bastia,7,0.1591
name,Via Piero Gobetti,7,0.1591
name,Via Pietro Albertoni,7,0.1591
name,Via Portanova,7,0.1591
name,Via Puntiroli,7,0.1591
name,Viale Roma,7,0.1591
name,Villa Spada,7,0.1591
name,Binario 1 Ovest,6,0.1364
name,Binario 6/7,6,0.1364
name,Bologna San Vitale,6,0.1364
name,Bolognese,6,0.1364
name,Carraie Veneziane,6,0.1364
name,Deposito Due Madonne 2,6,0.1364
name,Di Vittorio,6,0.1364
name,Galleria dei Notai,6,0.1364
name,Parcheggio Staveco,6,0.1364
name,Piazza delle Medaglie d'Oro,6,0.1364
name,Piazza di Porta Ravegnana,6,0.1364
name,Piazzale Ovest,6,0.1364
name,Porta Saragozza - Villa Cassarini,6,0.1364
name,Via A. Ferrarin,6,0.1364
name,Via Canala,6,0.1364
name,Via Classicana,6,0.1364
name,Via Due Madonne,6,0.1364
name,Via Frattina,6,0.1364
name,Via Gambellara,6,0.1364
name,Via Lodovico Savioli,6,0.1364
name,Via Luigi Valeriani,6,0.1364
name,Via Montese,6,0.1364
name,Via Piangipane,6,0.1364
name,Via Rodolfo Audinot,6,0.1364
name,Via San Giuseppe,6,0.1364
name,Via San Vito,6,0.1364
name,Via Torriane,6,0.1364
name,Via Trasversale Marecchia,6,0.1364
name,XXI Aprile Martini,6,0.1364
name,Binario 10,5,0.1136
name,Binario 11,5,0.1136
name,Binario 6,5,0.1136
name,Binario 7,5,0.1136
name,Binario 8,5,0.1136
name,Binario 9,5,0.1136
name,Canala,5,0.1136
name,Casaglia 32-34,5,0.1136
name,Casalecchio Chiusa,5,0.1136
name,De Ambris,5,0.1136
name,Fermi,5,0.1136
name,Fioravanti Piazza Liber Paradisus,5,0.1136
name,Genova,5,0.1136
name,Kiss & Ride,5,0.1136
name,Pianeta,5,0.1136
name,Piazza di Porta San Donato,5,0.1136
name,Piazza porticata di Santo Stefano,5,0.1136
name,Portici commerciali del Pavaglione e dei Banchi,5,0.1136
name,Portico del Pavaglione,5,0.1136
name,Portico della Certosa,5,0.1136
name,Poste Italiane,5,0.1136
name,Rio Meloncello,5,0.1136
name,Rio Rii,5,0.1136
name,San Giuseppe,5,0.1136
name,Scolo Canaletta,5,0.1136
name,Smeraldo,5,0.1136
name,UniCredit Bank,5,0.1136
name,Via Aristotile Fioravanti,5,0.1136
name,Via Benedetto Marcello,5,0.1136
name,Via Carlo Zucchi,5,0.1136
name,Via Castiglione,5,0.1136
name,Via Francesco Roncati,5,0.1136
name,Via Linaro,5,0.1136
name,Via Miserabili,5,0.1136
name,Via Molinello,5,0.1136
name,Via Nicolò Dell'Abate,5,0.1136
name,Via Panigale,5,0.1136
name,Via Piave,5,0.1136
name,Via Podgora,5,0.1136
name,Via Ravenna,5,0.1136
name,Via Sigla,5,0.1136
name,Via Speranza,5,0.1136
name,Via Superiore,5,0.1136
name,Via Ugo Bassi,5,0.1136
name,Via Zuccherificio,5,0.1136
name,Via dei Granatieri,5,0.1136
name,Via del Carso,5,0.1136
name,Via del Signore,5,0.1136
name,Via del Terrapieno,5,0.1136
name,Via dell'Industria,5,0.1136
name,Via della Croce Coperta,5,0.1136
name,Via di Casaglia,5,0.1136
name,Viale Antonio Silvani,5,0.1136
name,Viale M. K. Gandhi,5,0.1136
name,Vicini,5,0.1136
name,Audinot,4,0.0909
name,Autostazione,4,0.0909
name,Battindarno Segantini,4,0.0909
name,Binario 3 Ovest,4,0.0909
name,Binario 4 Ovest,4,0.0909
name,Binario 5 Ovest,4,0.0909
name,Binario 6/7 Ovest,4,0.0909
name,Bolognina,4,0.0909
name,Canale delle Moline,4,0.0909
name,Carrefour Express,4,0.0909
name,Casaglia Scuole,4,0.0909
name,Casalecchio Garibaldi,4,0.0909
name,Ciclabile lungomare di Rimini,4,0.0909
name,Creti,4,0.0909
name,Fiume Reno,4,0.0909
name,Forno Brisa,4,0.0909
name,Funivia,4,0.0909
name,Largo Cardinale Giacomo Lercaro,4,0.0909
name,Magnani,4,0.0909
name,Massarenti,4,0.0909
name,Meloncello,4,0.0909
name,Murri,4,0.0909
name,Museo Civico Archeologico,4,0.0909
name,Parco Banting Macleod Best Collip,4,0.0909
name,Piazza Alessandro Volta,4,0.0909
name,Piazza Venti Settembre,4,0.0909
name,Piazza Volta,4,0.0909
name,Piazza della Pace,4,0.0909
name,Piazza di Porta Castiglione,4,0.0909
name,Porta Lame,4,0.0909
name,Porta Saragozza - Liceo Righi,4,0.0909
name,Portici trionfali di Strada Maggiore,4,0.0909
name,Profumi E Sapori Di Una Volta,4,0.0909
name,Rio di Mezzanotte,4,0.0909
name,Roncati,4,0.0909
name,Rotonda Niballo Palio di Faenza,4,0.0909
name,Rotonda della Leona,4,0.0909
name,San Vitale,4,0.0909
name,Savioli,4,0.0909
name,Stazione Centrale,4,0.0909
name,Sterlino,4,0.0909
name,Tabaccheria,4,0.0909
name,Trenitalia,4,0.0909
name,Via Antonio Zannoni,4,0.0909
name,Via Argine destro Montone,4,0.0909
name,Via Augusto Aglebert,4,0.0909
name,Via Avesella,4,0.0909
name,Via Bruno Buozzi,4,0.0909
name,Via Capo di Lucca,4,0.0909
name,Via Carlo Forlanini,4,0.0909
name,Via Cesare Battisti,4,0.0909
name,Via Cherubino Ghirardacci,4,0.0909
name,Via Clemente Monari,4,0.0909
name,Via Domenico Zampieri,4,0.0909
name,Via Fornace,4,0.0909
name,Via Francesco Albani,4,0.0909
name,Via Francesco Rossi,4,0.0909
name,Via Gaetano Bottrigari,4,0.0909
