period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.809,0.0012254,1.0,1.0,5.507628853912441e-18
pre,post,highway,0.7363,7.72e-05,0.8251,0.7036,0.004982991336155134
pre,post,source,0.4444,0.1194389,0.8902,0.8429,0.004324192299433511
pre,post,name,1.0,1.0,0.9897,1.0,1.0
pre,post,surface,0.7641,0.0022635,0.6257,0.4128,0.23575960572561544
pre,post,amenity,0.7176,0.0012357,0.941,0.8767,0.00018177479061718682
pre,post,landuse,0.8182,4.41e-05,0.9246,0.9231,1.856488385148527e-05
pre,post,waterway,0.7043,0.0087746,0.9341,0.9144,0.0005548471619159428
pre,post,natural,0.5455,0.0137708,0.8603,0.7776,0.0029075512424441893
pre,post,leisure,0.7043,0.0087746,0.8219,0.5957,0.09052410775281632
pre,post,emergency,1.0,1.0,0.9627,1.0,1.0
