period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.7043,0.0087746,0.9857,0.9889,4.701797902996509e-07
pre,post,highway,0.7692,7.03e-05,0.82,0.7756,0.0018338926540564524
pre,post,source,0.8545,4.62e-05,0.9814,0.9885,1.0981078009149707e-08
pre,post,name,0.8,0.0833333,0.9852,0.9885,0.001484767437943583
pre,post,surface,0.5714,0.0610119,0.6544,0.534,0.17280710563572485
pre,post,amenity,0.8733,0.0011553,0.8925,0.7846,0.012282164044060358
pre,post,landuse,0.2759,0.2773768,0.5489,0.3844,0.2727839411491547
pre,post,waterway,0.619,0.0690476,0.955,0.9324,0.0022009376024556123
pre,post,natural,0.5855,0.0683139,0.9907,0.9885,2.7141017073193607e-05
pre,post,leisure,0.6667,0.0148001,0.9764,0.9662,2.255452763632977e-05
pre,post,emergency,nan,nan,0,0,0
