period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.7454,0.0440654,0.9855,0.9895,0.00016462614012748364
pre,imm,highway,0.641,0.0016163,0.5679,0.4499,0.12292502539391402
pre,imm,source,0.7222,0.002254,0.9948,0.9976,9.262873749188985e-12
pre,imm,name,0.2,0.8166667,0.6946,0.1291,0.8360844432315168
pre,imm,surface,0.7638,0.0088397,0.6503,0.5101,0.19657086910177915
pre,imm,amenity,0.5507,0.0909053,0.7403,0.5071,0.24540651668814306
pre,imm,landuse,0.7059,0.0060563,0.9709,0.9769,1.202904278949328e-06
pre,imm,waterway,0.7143,0.0301587,0.9874,0.9835,6.628653341627817e-05
pre,imm,natural,0.7143,0.051625,0.9864,0.9951,3.523375973210224e-05
pre,imm,leisure,1.0,1.0,0.9716,1.0,1.0
pre,imm,emergency,nan,nan,0,0,0
