period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,post,building,0.3273,0.2618277,0.9999,0.9999,2.1106645882034978e-12
pre,post,highway,0.8903,2.47e-05,0.9879,0.9846,1.1034432656879233e-09
pre,post,source,0.0667,1.0,0.6396,0.1775,0.7364806526444425
pre,post,name,1.0,1.0,0.9938,1.0,1.0
pre,post,surface,0.5,0.1086806,0.7612,0.6963,0.055047186066229416
pre,post,amenity,0.138,0.7020564,0.2946,-0.1697,0.747892434956015
pre,post,landuse,0.4907,0.0998382,0.9993,0.9993,8.128121780827883e-10
pre,post,waterway,0.8,0.0833333,0.936,0.8969,0.0391030520862582
pre,post,natural,0.2,0.8166667,0.6358,0.0137,0.9825726910402341
pre,post,leisure,0.527,0.2065073,0.937,0.9561,0.010979238346081489
pre,post,emergency,nan,nan,0,0,0
