period1,period2,key,kendall_rank_correlation,kendall_p_value,cosine_similarity,pearson_correlation,pearson_p_value
pre,imm,building,0.5556,0.0446153,1.0,1.0,2.278705134180525e-15
pre,imm,highway,0.8074,0.0005908,0.9593,0.9446,1.1974817579637337e-05
pre,imm,source,-0.2,0.7194444,0.6558,0.0169,0.9746515414183902
pre,imm,name,1.0,1.0,0.9938,1.0,1.0
pre,imm,surface,0.7143,0.0301587,0.9563,0.9466,0.001228866579012053
pre,imm,amenity,0.414,0.251118,0.7848,0.7081,0.11537819659290008
pre,imm,landuse,0.4743,0.1537456,0.9999,0.9999,7.465654706466112e-11
pre,imm,waterway,0.6,0.2333333,0.9315,0.8777,0.050409384905165604
pre,imm,natural,0.8,0.0833333,0.8173,0.8393,0.07546298294700951
pre,imm,leisure,0.3333,1.0,0.6387,-0.038,0.9758305271422932
pre,imm,emergency,nan,nan,0,0,0
